CENTRE VILLE,Q1_1,Q1_1_A,Q1_1_B,Q1_1_C,Q1_2,Q1_2_A,Q1_2_B,Q1_3_C,Q2_1,Q2_2_1,Q2_2_2,Q2_3_1,Q2_3_2,Q2_3,Q2_4,Q2_5_1,Q2_5_2,Q2_6_1,Q2_6_2,Q3_1,Q3_2,Q3_3_1,Q3_3_2,Q4_1_A,Q4_1_B,Q4_2_A,Q4_2_B,Q4_3,Q4_4,Q4_4_AUTRES,Q5_1,Q5_2,Q5_3
Yaounde,Un quartier de la ville de Yaounde,MOKOLO,ECOLE PUBLIQUE DE ME SAA,,Un quartier de la ville de Yaounde,CARREFOUR LUMIERE,PETIT MARCHE CARREFOUR LUMIERE,,Par moto / moto taxi,MOKOLO,ECOLE PUBLIQUE MESSA,CARREFOUR BANKOLO,CARREFOUR,Non,,,,,,Non,,,,15,10 € 20 minutes,45,30 € 60 min,600,Courses,,Entre 45 et 54 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MBAM ET KIM,SAA,,Un quartier de la ville de Yaounde,ODZA,HAPPY,,Par moto / moto taxi,CHEFFERIE,CHEFFERIE SAA,CENTRE,SAA CENTRE,Non,,,,,,Non,,,,10,10 € 20 minutes,90,Plus de  1heure,1400,"Visite famille, amis",,Entre 26 et 35 ans,Plus de 500 001,Homme
Yaounde,Un quartier de la ville de Yaounde,BATA NLONGKAK,NLONGKAK,,Un quartier de la ville de Yaounde,NGOUSSO,"IMEUBLE MTN, TRANSFORMATEUR",,Par taxi,BATA NLONGKAK,BATA NLONGKAK,OMNISIPORT,MOBIL OMNISIPORT,Non,,,,,,Oui,Par taxi,TRANSFORMATEUR,IMEUBLE MTN,5,5 € 10 minutes,1,Moins de 15 min,250,Autres,Etudes,Moins de 18 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,ONANA,QUATIER AOUSSA,,Un quartier de la ville de Yaounde,ONANA,QUATIER AOUSSA,,Par taxi,CARREFOUR,QUATIER AOUSSA,NKOLBISSON,CARREFOUR,Non,,,,,,Non,,,,2,Moins de 5 min,20,15 € 30 min,150,Travail,,Entre 18 et 25 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MVOG BETSI,"HOLY INFANT,(OBILI)",,Un quartier de la ville de Yaounde,GOLF,CARREFOUR GOLF,,Par taxi,CARREFOUR GOLF,CARREFOUR GOLF,HOLY INFANT,HOLY INFANT,Non,,,,,,Non,,,,30,Plus de 20 minutes,30,30 € 60 min,700,Autres,Etudes,Moins de 18 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,ETETAK,ETETAK,,Un quartier de la ville de Yaounde,ETETAK,ETETAK,,Par taxi,CARREFOUR MEEC,CARREFOUR MEEC,TSINGA,TSINGA,Non,,,,,,Non,,,,1,Moins de 5 min,20,15 € 30 min,150,"Visite famille, amis",,Entre 26 et 35 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MBANKOMO,MBANKOMO,,Un quartier de la ville de Yaounde,MSAM,MSAM GARANTI,,Par taxi,MBANKOMO,MBANKOMO,TRADEX SNIMBOCK,SIMBOCK,Non,,,,,,Oui,Par taxi,NSAM,MAKE CARREFOUR,20,Plus de 20 minutes,40,30 € 60 min,500,Travail,,Entre 55ans et 64 ans,Entre 300 001 et 500 000,Homme
Yaounde,Un quartier de la ville de Yaounde,BITENG,EXPRESS UNION,,Un quartier de la ville de Yaounde,BITENG,EXPRESS UNOIN,,Par moto / moto taxi,BITENG,EXPRESS UNION,EKOUNOU,CARREFOUR,Non,,,,,,Oui,Par taxi,BITENG,EXPRESSION,10,10 € 20 minutes,30,30 € 60 min,400,Courses,,Entre 36 et 45 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,MBALLA 2,CARREFOUR REGI,,Un quartier de la ville de Yaounde,DOUALA,DOUALA ELF,,Par taxi,MBALLA 2,CARREFOUR REGI,MVAN,CARREFOUR,Non,,,,,,Oui,"Par Bus (agence interurbain, agence de voyage)",DOUALA,DOUALA ELF,20,Plus de 20 minutes,155,Plus de 1heure,2900,Travail,,Entre 26 et 35 ans,Entre 300 001 et 500 000,Homme
Yaounde,Un quartier de la ville de Yaounde,TITI GARAGE,QUENNS WAY,,Un quartier de la ville de Yaounde,ESSOMBA,DESCENTE EVASION,,A pied,,,,,Non,,,,,,Non,,,,5,5 € 10 minutes,45,30 € 60 min,100,Autres,Etudes,Moins de 18 ans,Entre 30 001 et 100 000,Femme
