accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,centre ville,Agent_0,YAOUNDE
4,4,4,3,4,gpt-oss:20b,data_pmus_yaounde,q1_1,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,3,4,gpt-oss:20b,data_pmus_yaounde,q1_1_a,Agent_0,OKOLA
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q1_1_b,Agent_0,MAIRIE
1,1,1,1,3,gpt-oss:20b,data_pmus_yaounde,q1_1_c,Agent_0,nan
4,4,4,3,4,gpt-oss:20b,data_pmus_yaounde,q1_2,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,3,4,gpt-oss:20b,data_pmus_yaounde,q1_2_a,Agent_0,CARREFOUR LUMIERE
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q1_2_b,Agent_0,CARRRFOUR
1,1,1,1,3,gpt-oss:20b,data_pmus_yaounde,q1_3_c,Agent_0,nan
3,3,4,3,3,gpt-oss:20b,data_pmus_yaounde,q2_1,Agent_0,PAR TAXI
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q2_2_1,Agent_0,PETIT MARCHE
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q2_2_2,Agent_0,CARREFOURMEEC
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q2_3_1,Agent_0,CARREFOURMEEC
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q2_3_2,Agent_0,0NANA
4,4,4,3,4,gpt-oss:20b,data_pmus_yaounde,q2_3,Agent_0,NON
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q2_4,Agent_0,PAR BUS STACY
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q2_5_1,Agent_0,CARREFOUR MEEC
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q2_5_2,Agent_0,0MPHINE
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q2_6_1,Agent_0,MOKOLO
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q2_6_2,Agent_0,MOKOLO EN BAS
3,4,4,3,4,gpt-oss:20b,data_pmus_yaounde,q3_1,Agent_0,OUI
4,3,4,3,3,gpt-oss:20b,data_pmus_yaounde,q3_2,Agent_0,PAR CARGO MINI BUS
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q3_3_1,Agent_0,PETIT MARHE
4,4,3,3,3,gpt-oss:20b,data_pmus_yaounde,q3_3_2,Agent_0,MOBIL
4,4,2,4,2,gpt-oss:20b,data_pmus_yaounde,q4_1_a,Agent_0,Veuillez indiquer depuis combien de temps vous attendez.
4,4,4,3,4,gpt-oss:20b,data_pmus_yaounde,q4_1_b,Agent_0,MOINS DE 5 MIN
4,4,2,4,2,gpt-oss:20b,data_pmus_yaounde,q4_2_a,Agent_0,Veuillez indiquer depuis combien de temps vous attendez.
4,3,4,3,4,gpt-oss:20b,data_pmus_yaounde,q4_2_b,Agent_0,15 30 MIN
