
================================================================================
HEADER
================================================================================
Model   : mistral-nemo:12b
Dataset : data_MyDailyTravelData
Results : 20260618_1917_results.csv
Oracle  : sampled_oracle.csv
Log     : log.txt
--------------------------------------------------------------------------------

================================================================================
TABLE 0 — GLOBAL SUMMARY
================================================================================
Category         Metric                      Value
---------------  --------------------------  ----------------------------
Run Info         Model                       ollama/mistral-nemo:12b
Run Info         Temperature                 0.2
Run Info         N Agents                    200
Run Info         Duration (h)                6.77
Run Info         Start Time                  2026-06-18 19:17:28
Run Info         End Time                    2026-06-19 02:03:26
Run Info         Sample Size                 200
Run Info         Batch Size                  10
Run Info         Source                      GENERIC
Run Info         Sim Year                    2019
Columns          Matched (results<->oracle)  181
Columns          -> Categorical              93
Columns          -> Numeric                  69
Columns          -> Free-text                1
------------     ----------------------      ----------------------------
Entropy          Oracle Median               0.6765
Entropy          Agent Median                0.7041
Entropy          Agent Mean                  0.6474
KL Divergence    Median KL                   12.5361
KL Divergence    Mean KL                     9.6006
------------     ----------------------      ----------------------------
NLP - BLEU       Corpus BLEU                 0.0043
NLP - ROUGE      ROUGE-1                     0.5676
NLP - ROUGE      ROUGE-2                     0.0
NLP - ROUGE      ROUGE-L                     0.5676
NLP - METEOR     METEOR                      0.2373
NLP - BERTScore  F1                          0.951
------------     ----------------------      ----------------------------
Task Metrics     Success Rate (SR)           1.0
Task Metrics     N Successful / N Total      200 / 200
Task Metrics     Avg Field Coverage          0.9689
Task Metrics     Task Goal Completion        0.1699
Task Metrics     Median TGC                  0.1943
------------     ----------------------      ----------------------------
Factual          Global Accuracy             0.2466
Factual          Median Accuracy             0.01
Relevance        Global Mean (TF-IDF)        0.4072
Relevance        Global Median (TF-IDF)      0.2947

================================================================================
COLUMN CLASSIFICATION  (auto-inferred from data)
================================================================================
Categorical      (93): ['source', 'cravl', 'fare', 'payf', 'pkbas_o', 'prkty', 'prkty_o', 'tpurp2_o', 'tpurp_check', 'trip_appt', 'trip_appt_why2_o', 'placegroup', 'time_distance_flag', 'age18', 'hisp_o', 'race_o', 'jobs', 'wkstat', 'wkstat_o', 'wplace', 'wmode', 'wmode_o', 'pervh', 'wrkhrs', 'wtrav', 'occup', 'occup_o', 'indus', 'indus_o', 'emply_transit', 'emply_transit_o', 'emply_park', 'emply_park_o', 'schol', 'schol_o', 'sweb', 'smode', 'smode_o', 'educ_o', 'hptol_o', 'pay_allday', 'tolls', 'tolltrip', 'carptowk', 'walktowk', 'biketowk', 'ribus', 'tcoff', 'tcdays', 'compr', 'compr_o', 'wkflex', 'tnc_use', 'tnc_cost', 'tnc_purp', 'dtype_o', 'dtype2', 'traveldatause', 'traveldatadevice', 'traveldatadevice_o', 'traveldatamode', 'traveldatamode_o', 'dtype_3', 'dtype_4', 'dtype_5', 'dtype_6', 'dtype_se', 'dtype_rf', 'dtype_dk', 'pertrips', 'hhveh', 'transprob', 'transprob_o', 'restylast', 'restylast_o', 'restylast_zip', 'hhinc2', 'homeown_o', 'resty_o', 'hhinc', 'vehyear', 'make', 'make_o', 'model', 'model_o', 'body', 'body_o', 'fuel', 'fuel_o', 'transp', 'parkd', 'parkd_o', 'removed_places']
Numeric          (69):     ['pkamt', 'tpurp', 'tpurp2', 'trip_appt_why_1', 'trip_appt_why_2', 'trip_appt_why_3', 'trip_appt_why_4', 'trip_appt_why_5', 'trip_appt_why_6', 'trip_appt_why_se', 'trip_appt_why_rf', 'trip_appt_why_dk', 'trip_appt_why2_1', 'trip_appt_why2_2', 'trip_appt_why2_3', 'trip_appt_why2_4', 'trip_appt_why2_5', 'trip_appt_why2_se', 'trip_appt_why2_rf', 'trip_appt_why2_dk', 'retmode_final', 'retmode', 'age', 'sex', 'relate', 'lic', 'hisp', 'race', 'smrtphn', 'emply_ask', 'volun_freq', 'wparkride', 'stude', 'sloc', 'sparkride', 'educ', 'typpl', 'tnc_typ', 'disab', 'nogowhy2_1', 'nogowhy2_2', 'nogowhy2_3', 'nogowhy2_4', 'nogowhy2_5', 'nogowhy2_rf', 'nogowhy2_dk', 'traveldatadevice_1', 'traveldatadevice_2', 'traveldatadevice_3', 'traveldatadevice_se', 'traveldatadevice_rf', 'traveldatadevice_dk', 'traveldatamode_1', 'traveldatamode_2', 'traveldatamode_3', 'traveldatamode_4', 'traveldatamode_5', 'traveldatamode_se', 'traveldatamode_rf', 'traveldatamode_dk', 'dtype_1', 'dtype_2', 'hlive', 'homeown', 'futuresurvey', 'incendonate', 'resty', 'download', 'phase']
Free-text        (1):   ['dtype']
Entropy/KL cols  (117):  ['source', 'cravl', 'fare', 'payf', 'pkamt', 'prkty', 'tpurp2', 'tpurp2_o', 'tpurp_check', 'trip_appt', 'trip_appt_why_6', 'trip_appt_why_se', 'trip_appt_why2_1', 'trip_appt_why2_4', 'trip_appt_why2_5', 'placegroup', 'time_distance_flag', 'retmode_final', 'retmode', 'age18', 'sex', 'relate', 'lic', 'hisp', 'race', 'race_o', 'smrtphn', 'emply_ask', 'jobs', 'wkstat', 'wplace', 'wmode', 'wparkride', 'pervh', 'wrkhrs', 'wtrav', 'occup', 'occup_o', 'indus', 'indus_o', 'emply_transit', 'emply_transit_o', 'emply_park', 'emply_park_o', 'stude', 'schol', 'sloc', 'sweb', 'smode', 'sparkride', 'educ', 'hptol_o', 'pay_allday', 'tolls', 'tolltrip', 'typpl', 'carptowk', 'walktowk', 'biketowk', 'ribus', 'tcoff', 'tcdays', 'compr', 'wkflex', 'tnc_use', 'tnc_typ', 'tnc_cost', 'tnc_purp', 'disab', 'dtype_o', 'dtype2', 'nogowhy2_1', 'nogowhy2_2', 'nogowhy2_4', 'nogowhy2_5', 'traveldatause', 'traveldatadevice', 'traveldatadevice_1', 'traveldatadevice_2', 'traveldatadevice_3', 'traveldatadevice_se', 'traveldatadevice_o', 'traveldatamode', 'traveldatamode_1', 'traveldatamode_2', 'traveldatamode_3', 'traveldatamode_5', 'traveldatamode_se', 'traveldatamode_o', 'dtype_1', 'dtype_2', 'dtype_3', 'dtype_4', 'dtype_5', 'dtype_6', 'dtype_se', 'pertrips', 'hhveh', 'transprob', 'transprob_o', 'restylast', 'restylast_zip', 'hhinc2', 'homeown', 'futuresurvey', 'resty', 'hhinc', 'download', 'phase', 'vehyear', 'make', 'model', 'body', 'fuel', 'transp', 'parkd', 'removed_places']


================================================================================
TABLE 1 — NORMALIZED SHANNON ENTROPY
================================================================================
Variable               # Categories    Entropy (Oracle)    Entropy (Agent)    Delta Entropy
-------------------  --------------  ------------------  -----------------  ---------------
source                            2              0.92               0.4177          -0.5022
cravl                             2              0.4465             0.2189          -0.2276
fare                              3              0.1572             0.9157           0.7585
payf                              7              0.8458             0.8116          -0.0341
pkamt                             3              0.0573             0.3882           0.331
prkty                             3              0.7643             0.7513          -0.013
tpurp2_o                          4              0.1178             0.993            0.8753
tpurp_check                       3              0.2652             0.8932           0.628
trip_appt                         5              0.7772             0.4216          -0.3556
trip_appt_why_6                   2              0.0454             0.1124           0.0669
trip_appt_why_se                  2              0.1944             0.1124          -0.082
trip_appt_why2_1                  2              0.0808             0.9965           0.9157
trip_appt_why2_4                  2              0.0454             0.9999           0.9545
trip_appt_why2_5                  2              0.1944             1                0.8056
time_distance_flag                4              0.2031             0.3813           0.1782
retmode_final                     3              0.2066             0.5018           0.2952
retmode                           5              0.6765             0.5294          -0.1472
age18                             2              0.2189             0.2592           0.0403
sex                               2              0.981              0.9544          -0.0265
relate                            7              0.6088             0.7827           0.174
lic                               2              0.9948             0.9982           0.0034
hisp                              2              0.9021             0.8033          -0.0988
race                              5              0.9091             0.7916          -0.1175
race_o                            2              0.2423             0.9984           0.7561
smrtphn                           2              0.694              0.9044           0.2104
emply_ask                         2              0.825              0.9149           0.09
wkstat                            3              0.8082             0.7643          -0.0439
wplace                            3              0.6666             0.634           -0.0326
wmode                             9              0.8402             0.838           -0.0022
pervh                             2              0.1644             0.0454          -0.119
wtrav                             8              0.7445             0.7219          -0.0226
occup_o                           7              0.7355             0.9557           0.2201
indus                             9              0.6526             0.7312           0.0786
indus_o                           5              0.6555             0.9692           0.3137
emply_transit                     3              0.683              0.0454          -0.6376
emply_transit_o                   2              0.1687             0.9829           0.8142
emply_park                        3              0.7556             0.4768          -0.2788
emply_park_o                      2              0.1687             0.9581           0.7894
stude                             3              0.9463             0.8052          -0.1411
schol                             5              0.8893             0.909            0.0196
sweb                              2              0.483              0.1124          -0.3707
smode                             6              0.793              0.8339           0.0408
educ                              6              0.922              0.9069          -0.0151
hptol_o                           2              0.1414             0.9974           0.856
tolls                             4              0.116              0.9671           0.8511
walktowk                          3              0.2601             0.2085          -0.0516
ribus                             4              0.747              0.6034          -0.1436
tcdays                            3              0.6098             0.6436           0.0337
wkflex                            2              0.9988             0.0454          -0.9534
tnc_use                           6              0.3298             0.2594          -0.0704
tnc_typ                           3              0.7029             0.0454          -0.6575
tnc_cost                          7              0.6884             0.8498           0.1614
tnc_purp                          5              0.8089             0.1124          -0.6965
disab                             2              0.6649             0.8622           0.1972
dtype2                            2              0.9641             0.9507          -0.0134
nogowhy2_1                        2              0.0454             0.8294           0.784
nogowhy2_2                        2              0.0808             0.9591           0.8783
nogowhy2_4                        2              0.0808             0.8231           0.7423
nogowhy2_5                        2              0.2864             0.9392           0.6528
traveldatause                     2              0.9829             0.1124          -0.8705
traveldatadevice                  8              0.7015             0.2544          -0.4471
traveldatadevice_1                2              0.3843             0.2632          -0.1211
traveldatadevice_2                2              0.9878             0.2459          -0.7419
traveldatadevice_3                2              0.7866             0.2545          -0.5321
traveldatadevice_se               2              0.5294             0.2459          -0.2835
traveldatamode                    7              0.745              0.6987          -0.0463
traveldatamode_1                  2              0.795              0.6482          -0.1468
traveldatamode_2                  2              0.7866             0.6894          -0.0972
traveldatamode_3                  2              0.669              0.7154           0.0464
traveldatamode_5                  2              0.9648             0.7041          -0.2607
traveldatamode_se                 2              0.1687             0.7234           0.5547
traveldatamode_o                  2              0.1687             0.9996           0.831
dtype_1                           2              0.6577             0.6161          -0.0416
dtype_2                           2              0.3843             0.6189           0.2346
dtype_3                           2              0.4846             0.6391           0.1544
dtype_4                           2              0.1414             0.6425           0.5011
dtype_5                           2              0.4999             0.6391           0.1392
dtype_6                           2              0.8813             0.6684          -0.2128
dtype_se                          2              0.9507             0.6598          -0.2909
hhveh                             7              0.8626             0.9669           0.1043
transprob                         7              0.8451             0.6355          -0.2095
transprob_o                       4              0.8174             0.9917           0.1743
restylast                         4              0.6623             0.6839           0.0216
hhinc2                            4              0.7168             0.4779          -0.2389
homeown                           5              0.8884             0.8935           0.0051
futuresurvey                      2              0.8191             0.9445           0.1254
resty                             3              0.9331             0.48            -0.4531
hhinc                             9              0.782              0.7831           0.001
download                          2              0.6343             0.4846          -0.1497
phase                             3              0.7849             0.5026          -0.2823
body                              4              0.8047             0.6466          -0.1581
fuel                              2              0.1511             0.4372           0.2861
transp                            3              0.4802             0.0808          -0.3994
parkd                             3              0.7436             0.8258           0.0822
removed_places                    4              0.6496             0.9952           0.3456

================================================================================
TABLE 2 — KL DIVERGENCE  P(Oracle) || Q(Agent)
================================================================================
Variable               KL Divergence (Oracle || Agent)  Rating
-------------------  ---------------------------------  --------------
source                                         17.783   poor
cravl                                           0.0347  approx_perfect
fare                                           18.248   poor
payf                                            4.7798  poor
pkamt                                          18.3577  poor
prkty                                           1.9092  poor
tpurp2_o                                       18.2574  poor
tpurp_check                                    18.1294  poor
trip_appt                                       4.3896  poor
trip_appt_why_6                                18.2972  poor
trip_appt_why_se                               18.2859  poor
trip_appt_why2_1                               18.1867  poor
trip_appt_why2_4                               18.3892  poor
trip_appt_why2_5                               17.7541  poor
time_distance_flag                             18.1391  poor
retmode_final                                   0.0885  good
retmode                                         1.6584  poor
age18                                           5.0542  poor
sex                                             0.0041  approx_perfect
relate                                          1.702   poor
lic                                             0.0091  approx_perfect
hisp                                            0.0136  approx_perfect
race                                            0.1561  good
race_o                                         18.2527  poor
smrtphn                                         0.0452  approx_perfect
emply_ask                                       0.3535  good
wkstat                                          1.2077  moderate
wplace                                          0.0705  good
wmode                                           0.4827  good
pervh                                           0.0191  approx_perfect
wtrav                                           0.4322  good
occup_o                                        16.9893  poor
indus                                           3.6442  poor
indus_o                                        17.3657  poor
emply_transit                                   4.6661  poor
emply_transit_o                                18.3037  poor
emply_park                                      0.3377  good
emply_park_o                                   18.3037  poor
stude                                           0.1574  good
schol                                           0.1918  good
sweb                                            0.1175  good
smode                                           0.4453  good
educ                                            0.0578  good
hptol_o                                        18.3226  poor
tolls                                          18.2599  poor
walktowk                                        0.4979  good
ribus                                           0.0588  good
tcdays                                         17.7507  poor
wkflex                                          1.85    poor
tnc_use                                        17.8297  poor
tnc_typ                                         3.0261  poor
tnc_cost                                       17.0811  poor
tnc_purp                                       14.6902  poor
disab                                           0.0339  approx_perfect
dtype2                                          0.0008  approx_perfect
nogowhy2_1                                     18.3003  poor
