model,dataset,question,agent_id,response,accuracy,relevance,coherence,completeness,fluency
gemma2:9b,data_pmus_yaounde,centre ville,Agent_0,YAOUNDE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1_a,Agent_0,ABIT,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1_b,Agent_0,10EME ARRET,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1_c,Agent_0,NKOA MBANG,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_2,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_2_a,Agent_0,CARREFOUR LUMIERE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_2_b,Agent_0,10 IEME ARRET,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_3_c,Agent_0,YAOUNDE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_1,Agent_0,A PIED,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_2_1,Agent_0,,2,1,2,1,3
gemma2:9b,data_pmus_yaounde,q2_2_2,Agent_0,A PIED,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_3_1,Agent_0,AUCUN,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_3_2,Agent_0,AUCUN,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_3,Agent_0,NON,5,4,5,4,4
gemma2:9b,data_pmus_yaounde,q2_4,Agent_0,A PIED,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_5_1,Agent_0,A B0NAS,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_5_2,Agent_0,0MPHINE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_6_1,Agent_0,ABATTOIR,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_6_2,Agent_0,11EME ARRET,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q3_1,Agent_0,NON,5,4,5,4,4
gemma2:9b,data_pmus_yaounde,q3_2,Agent_0,A PIED,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q3_3_1,Agent_0,,2,1,2,1,3
gemma2:9b,data_pmus_yaounde,q3_3_2,Agent_0,,2,1,2,1,3
gemma2:9b,data_pmus_yaounde,q4_1_a,Agent_0,Veuillez indiquer depuis combien de temps vous attendez.,5,5,5,5,5
gemma2:9b,data_pmus_yaounde,q4_1_b,Agent_0,MOINS DE 5 MIN,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q4_2_a,Agent_0,Veuillez indiquer depuis combien de temps vous attendez.,5,5,5,5,5
gemma2:9b,data_pmus_yaounde,q4_2_b,Agent_0,30 60 MIN,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q4_3,Agent_0,2300,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q4_4,Agent_0,COURSES,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q4_4_autres,Agent_0,FAIRE DES ACHATS,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q5_1,Agent_0,ENTRE 18 ET 25 ANS,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q5_2,Agent_0,ENTRE 30 001 ET 100 000,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q5_3,Agent_0,HOMME,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,centre ville,Agent_1,YAOUNDE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1,Agent_1,UN QUARTIER DE LA VILLE DE YAOUNDE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1_a,Agent_1,MBAM ET KIM,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1_b,Agent_1,10EME ARRET,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1_c,Agent_1,AFANOYA,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_2,Agent_1,UN QUARTIER DE LA VILLE DE YAOUNDE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_2_a,Agent_1,ODZA,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_2_b,Agent_1,ODZA HAPPY,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_3_c,Agent_1,YAOUNDE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_1,Agent_1,PAR TAXI,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_2_1,Agent_1,2 CHEVEAU,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_2_2,Agent_1,10 E ARRET,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_3_1,Agent_1,0LESOA,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_3_2,Agent_1,CARREFOURDES CARREAUX,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_3,Agent_1,NON,5,4,5,4,4
gemma2:9b,data_pmus_yaounde,q2_4,Agent_1,PAR TAXI,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_5_1,Agent_1,ODZA,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_5_2,Agent_1,0MPHINE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_6_1,Agent_1,CARREFOUR,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_6_2,Agent_1,CARREFOUR,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q3_1,Agent_1,NON,5,4,5,4,4
gemma2:9b,data_pmus_yaounde,q3_2,Agent_1,PAR TAXI,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q3_3_1,Agent_1,ACACIA,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q3_3_2,Agent_1,ACACIA,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q4_1_a,Agent_1,Veuillez indiquer depuis combien de temps vous attendez.,5,5,5,5,5
gemma2:9b,data_pmus_yaounde,q4_1_b,Agent_1,MOINS DE 5 MIN,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q4_2_a,Agent_1,Veuillez indiquer depuis combien de temps vous attendez.,5,5,5,5,5
gemma2:9b,data_pmus_yaounde,q4_2_b,Agent_1,30 60 MIN,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q4_3,Agent_1,2100,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q4_4,Agent_1,VISITE FAMILLE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q4_4_autres,Agent_1,ACHAT,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q5_1,Agent_1,ENTRE 26 ET 35 ANS,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q5_2,Agent_1,ENTRE 300 001 ET 500 000,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q5_3,Agent_1,HOMME,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,centre ville,Agent_2,YAOUNDE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1,Agent_2,UN QUARTIER DE LA VILLE DE YAOUNDE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1_a,Agent_2,ABIT,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1_b,Agent_2,COLLEGE MAGBE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_1_c,Agent_2,NKOASSI,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_2,Agent_2,UN QUARTIER DE LA VILLE DE YAOUNDE,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_2_a,Agent_2,NLONGKAK,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_2_b,Agent_2,IMEUBLE MTN,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q1_3_c,Agent_2,AFANOYA,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_1,Agent_2,A PIED,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_2_1,Agent_2,NGOUSSO,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_2_2,Agent_2,10 E ARRET,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_3_1,Agent_2,NGOUSSO,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_3_2,Agent_2,0NANA,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_3,Agent_2,NON,5,4,5,4,4
gemma2:9b,data_pmus_yaounde,q2_4,Agent_2,PAR BUS STACY,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_5_1,Agent_2,NGOUSSO,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_5_2,Agent_2,NGOUSSO,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_6_1,Agent_2,NGOUSSO,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q2_6_2,Agent_2,11EME ARRET,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q3_1,Agent_2,NON,5,4,5,4,4
gemma2:9b,data_pmus_yaounde,q3_2,Agent_2,PAR BUS STACY,4,3,4,4,4
gemma2:9b,data_pmus_yaounde,q3_3_1,Agent_2,NGOUSSO,4,3,4,4,4
