model,dataset,question,agent_id,response,accuracy,relevance,coherence,completeness,fluency
gemma2:9b,data_MyDailyTravelData,source,Agent_0,10: Saber es Poder,3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,cravl,Agent_0,1: Yes,3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,fare,Agent_0,,1,1,1,1,2
gemma2:9b,data_MyDailyTravelData,payf,Agent_0,,1,1,1,1,2
gemma2:9b,data_MyDailyTravelData,payf_o,Agent_0,,1,1,1,1,2
gemma2:9b,data_MyDailyTravelData,paypk,Agent_0,1: Yes,3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,pkamt,Agent_0,0.0,1,3,3,2,3
gemma2:9b,data_MyDailyTravelData,pkbas,Agent_0,,1,1,1,1,2
gemma2:9b,data_MyDailyTravelData,pkbas_o,Agent_0,"I enjoy my quiet life at home, tending to my garden and reading. I also volunteer at the library, which is rewarding.",3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,prkty,Agent_0,1: On-site parking lot or deck,3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,prkty_o,Agent_0,"I have an automobile, but I don't drive. My family or a caregiver helps me when I need to go somewhere.",3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,tpurp,Agent_0,1: 01. Typical home activities,3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,tpurp_o,Agent_0,"I enjoy my quiet life at home, tending to my garden and reading. I also volunteer at the library, which is rewarding.",3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,tpurp2,Agent_0,1: 01. Typical home activities,3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,tpurp2_o,Agent_0,"I spend most of my time at home, tending to my garden, reading, and occasionally volunteering at the local library.",3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,tpurp_check,Agent_0,1: Yes,3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt,Agent_0,2: A little,3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why,Agent_0,['1: I had work or a job interview'],2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why_1,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']",2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why_2,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']",2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why_3,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']",2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why_4,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']",2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why_5,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']",2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why_6,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']",2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why_se,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']",2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why_rf,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']",2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why_dk,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']",2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why_o,Agent_0,I enjoy the quiet moments of the morning coffee and a good book.,3,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why2,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time'],2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why2_1,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time'],2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why2_2,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time'],2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why2_3,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time'],2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why2_4,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time'],2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why2_5,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time'],2,5,5,3,4
gemma2:9b,data_MyDailyTravelData,trip_appt_why2_se,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time'],2,5,5,3,4
