model,dataset,question,agent_id,response,accuracy,relevance,coherence,completeness,fluency
gemma2:27b,data_VTC_survey,genre,Agent_0,Une femme,2,3,3,2,3
gemma2:27b,data_VTC_survey,genre_autre,Agent_0,Champ texte libre — précision du genre si la réponse à 'genre' est 'Autre'.,2,3,3,2,2
gemma2:27b,data_VTC_survey,age,Agent_0,Valeur entière en années révolues (ex. : 34).,2,3,3,2,3
gemma2:27b,data_VTC_survey,diplome,Agent_0,Baccalauréat,2,3,3,2,3
gemma2:27b,data_VTC_survey,diplome_autre,Agent_0,Champ texte libre — précision du diplôme si la réponse à 'diplome' est 'Autre'.,2,3,3,2,2
gemma2:27b,data_VTC_survey,situation_professionnelle,Agent_0,Etudiant.e,2,3,3,2,3
gemma2:27b,data_VTC_survey,csp,Agent_0,Agriculteur.ice,2,3,3,2,3
gemma2:27b,data_VTC_survey,compo_menage,Agent_0,Seul.e sans enfant,2,3,3,2,3
gemma2:27b,data_VTC_survey,compo_menage_autre,Agent_0,Champ texte libre — précision de la composition du ménage si la réponse à 'compo_menage' est 'Autre'.,2,3,3,2,2
gemma2:27b,data_VTC_survey,nb_pers_menage,Agent_0,Valeur entière positive ≥ 1,2,3,3,2,3
gemma2:27b,data_VTC_survey,nb_enfants_menage,Agent_0,Valeur entière positive ou nulle (0 si aucun enfant). Doit être ≤ nb_pers_menage.,3,4,4,3,3
gemma2:27b,data_VTC_survey,nb_enfants_menage_14,Agent_0,Valeur entière positive ou nulle (0 si aucun). Doit être ≤ nb_enfants_menage.,3,4,4,3,3
gemma2:27b,data_VTC_survey,date_der_dep_vtc,Agent_0,Je n'en ai jamais utilisé,2,3,3,2,3
gemma2:27b,data_VTC_survey,der_dep_vtc_agglo_res_on,Agent_0,Non,3,4,4,2,3
gemma2:27b,data_VTC_survey,agglo_der_dep,Agent_0,Ailleurs à l'étranger,2,3,3,2,3
gemma2:27b,data_VTC_survey,agglo_der_dep_autre,Agent_0,Champ texte libre — nom de la ville ou agglomération si la réponse à 'agglo_der_dep' est 'Ailleurs en France'.,2,3,3,2,2
gemma2:27b,data_VTC_survey,app_der_dep_vtc_on,Agent_0,Non,3,4,4,2,3
gemma2:27b,data_VTC_survey,app_der_dep_vtc,Agent_0,Je ne sais plus,2,3,3,2,3
gemma2:27b,data_VTC_survey,app_der_dep_vtc_autre,Agent_0,Champ texte libre — nom de l'application VTC si la réponse à 'app_der_dep_vtc' est 'Autre'.,2,3,3,2,2
