accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
2,2,3,2,2,mistral-nemo:12b,data_MyDailyTravelData,source,Agent_0,10: Saber es Poder
2,2,5,2,4,mistral-nemo:12b,data_MyDailyTravelData,cravl,Agent_0,2: No
1,1,1,1,3,mistral-nemo:12b,data_MyDailyTravelData,fare,Agent_0,nan
1,1,1,1,3,mistral-nemo:12b,data_MyDailyTravelData,payf,Agent_0,nan
1,1,1,1,3,mistral-nemo:12b,data_MyDailyTravelData,payf_o,Agent_0,nan
2,2,4,2,2,mistral-nemo:12b,data_MyDailyTravelData,paypk,Agent_0,2: No
2,2,4,1,2,mistral-nemo:12b,data_MyDailyTravelData,pkamt,Agent_0,0
2,2,4,2,2,mistral-nemo:12b,data_MyDailyTravelData,pkbas,Agent_0,6: Year
2,2,2,2,2,mistral-nemo:12b,data_MyDailyTravelData,pkbas_o,Agent_0,I prefer to stay close to home and rely on the support of friends and family for longer trips.
2,3,5,2,4,mistral-nemo:12b,data_MyDailyTravelData,prkty,Agent_0,4: Driveway/garage
2,2,3,1,2,mistral-nemo:12b,data_MyDailyTravelData,prkty_o,Agent_0,In my driveway.
2,2,5,2,4,mistral-nemo:12b,data_MyDailyTravelData,tpurp,Agent_0,1: 01. Typical home activities
2,2,4,1,2,mistral-nemo:12b,data_MyDailyTravelData,tpurp_o,Agent_0,Reading
2,3,4,2,4,mistral-nemo:12b,data_MyDailyTravelData,tpurp2,Agent_0,1: 01. Typical home activities
2,2,4,2,2,mistral-nemo:12b,data_MyDailyTravelData,tpurp2_o,Agent_0,I also enjoy tending to my garden and staying active in the community by volunteering at the local library.
2,3,4,2,3,mistral-nemo:12b,data_MyDailyTravelData,tpurp_check,Agent_0,1: Yes
1,3,4,2,4,mistral-nemo:12b,data_MyDailyTravelData,trip_appt,Agent_0,4: Very
2,2,4,2,2,mistral-nemo:12b,data_MyDailyTravelData,trip_appt_why,Agent_0,6: I believe it is important to be on time.
2,2,4,2,3,mistral-nemo:12b,data_MyDailyTravelData,trip_appt_why_1,Agent_0,6: I believe it is important to be on time.
2,2,4,2,3,mistral-nemo:12b,data_MyDailyTravelData,trip_appt_why_2,Agent_0,6: I believe it is important to be on time.
