Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
gpt-oss:20b,data_hanoi,accuracy,3.02,1.14,3.0,1,5,10600,"1: 1754, 3: 6610, 4: 717, 5: 1519"
gpt-oss:20b,data_hanoi,relevance,4.67,0.74,5.0,3,5,10600,"3: 1754, 5: 8846"
gpt-oss:20b,data_hanoi,coherence,4.67,0.74,5.0,3,5,10600,"3: 1754, 5: 8846"
gpt-oss:20b,data_hanoi,completeness,2.81,0.88,3.0,1,4,10600,"1: 1754, 3: 7327, 4: 1519"
gpt-oss:20b,data_hanoi,fluency,3.98,0.56,4.0,3,5,10600,"3: 1754, 4: 7327, 5: 1519"
gpt-oss:20b,data_lyon_EDGT,accuracy,2.69,1.95,1.0,1,5,45800,"1: 25830, 3: 1213, 5: 18757"
gpt-oss:20b,data_lyon_EDGT,relevance,3.28,1.47,2.0,2,5,45800,"2: 25830, 4: 1213, 5: 18757"
gpt-oss:20b,data_lyon_EDGT,coherence,3.28,1.47,2.0,2,5,45800,"2: 25830, 4: 1213, 5: 18757"
gpt-oss:20b,data_lyon_EDGT,completeness,2.72,1.96,1.0,1,5,45800,"1: 25830, 4: 1213, 5: 18757"
gpt-oss:20b,data_lyon_EDGT,fluency,2.85,0.97,2.0,2,4,45800,"2: 25830, 3: 1213, 4: 18757"
gpt-oss:20b,data_MyDailyTravelData,accuracy,2.59,0.8,3.0,1,3,36200,"1: 7083, 2: 573, 3: 28544"
gpt-oss:20b,data_MyDailyTravelData,relevance,3.56,0.89,4.0,1,4,36200,"1: 1409, 2: 5674, 3: 173, 4: 28944"
gpt-oss:20b,data_MyDailyTravelData,coherence,4.53,1.01,5.0,1,5,36200,"1: 1409, 3: 5674, 4: 173, 5: 28944"
gpt-oss:20b,data_MyDailyTravelData,completeness,1.8,0.4,2.0,1,2,36200,"1: 7256, 2: 28944"
gpt-oss:20b,data_MyDailyTravelData,fluency,2.76,0.51,3.0,1,3,36200,"1: 1409, 2: 5847, 3: 28944"
gpt-oss:20b,data_NYC_mobility,accuracy,2.86,0.54,3.0,1,4,35200,"1: 2680, 3: 32187, 4: 333"
gpt-oss:20b,data_NYC_mobility,relevance,4.85,0.53,5.0,3,5,35200,"3: 2680, 5: 32520"
gpt-oss:20b,data_NYC_mobility,coherence,4.85,0.53,5.0,3,5,35200,"3: 2680, 5: 32520"
gpt-oss:20b,data_NYC_mobility,completeness,2.85,0.54,3.0,1,4,35200,"1: 2680, 3: 32327, 4: 193"
gpt-oss:20b,data_NYC_mobility,fluency,3.92,0.27,4.0,3,4,35200,"3: 2680, 4: 32520"
gpt-oss:20b,data_pmus_yaounde,accuracy,3.84,0.81,4.0,2,5,6800,"2: 948, 4: 5052, 5: 800"
gpt-oss:20b,data_pmus_yaounde,relevance,3.84,0.81,4.0,2,5,6800,"2: 948, 4: 5052, 5: 800"
gpt-oss:20b,data_pmus_yaounde,coherence,3.84,0.81,4.0,2,5,6800,"2: 948, 4: 5052, 5: 800"
gpt-oss:20b,data_pmus_yaounde,completeness,3.64,1.09,4.0,1,5,6800,"1: 948, 4: 5452, 5: 400"
gpt-oss:20b,data_pmus_yaounde,fluency,2.92,0.44,3.0,2,4,6800,"2: 948, 3: 5452, 4: 400"
gpt-oss:20b,data_VTC_survey,accuracy,3.83,0.85,4.0,2,5,27200,"2: 4188, 4: 19387, 5: 3625"
gpt-oss:20b,data_VTC_survey,relevance,4.69,0.72,5.0,3,5,27200,"3: 4188, 5: 23012"
gpt-oss:20b,data_VTC_survey,coherence,3.83,0.85,4.0,2,5,27200,"2: 4188, 4: 19387, 5: 3625"
gpt-oss:20b,data_VTC_survey,completeness,2.75,0.78,3.0,1,4,27200,"1: 4188, 3: 21450, 4: 1562"
gpt-oss:20b,data_VTC_survey,fluency,2.9,0.45,3.0,2,4,27200,"2: 4188, 3: 21450, 4: 1562"
