accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
4,4,4,2,4,mistral-nemo:12b,data_VTC_survey,genre,Agent_0,Une femme
1,1,1,1,3,mistral-nemo:12b,data_VTC_survey,genre_autre,Agent_0,Champ texte libre — précision du genre si la réponse à 'genre' est 'Autre'.
3,3,4,2,4,mistral-nemo:12b,data_VTC_survey,age,Agent_0,Valeur entière en années révolues (ex. : 34).
4,3,4,2,4,mistral-nemo:12b,data_VTC_survey,diplome,Agent_0,Sans diplôme
1,1,1,1,3,mistral-nemo:12b,data_VTC_survey,diplome_autre,Agent_0,Champ texte libre — précision du diplôme si la réponse à 'diplome' est 'Autre'.
3,4,4,2,4,mistral-nemo:12b,data_VTC_survey,situation_professionnelle,Agent_0,Actif.ve en recherche d'emploi
4,3,4,2,4,mistral-nemo:12b,data_VTC_survey,csp,Agent_0,Agriculteur.ice
3,3,4,2,4,mistral-nemo:12b,data_VTC_survey,compo_menage,Agent_0,Seul.e sans enfant
1,1,1,1,3,mistral-nemo:12b,data_VTC_survey,compo_menage_autre,Agent_0,Champ texte libre — précision de la composition du ménage si la réponse à 'compo_menage' est 'Autre'.
3,3,2,2,2,mistral-nemo:12b,data_VTC_survey,nb_pers_menage,Agent_0,Valeur entière positive ≥ 1
3,3,2,3,2,mistral-nemo:12b,data_VTC_survey,nb_enfants_menage,Agent_0,Valeur entière positive ou nulle (0 si aucun enfant). Doit être ≤ nb_pers_menage.
3,3,2,3,2,mistral-nemo:12b,data_VTC_survey,nb_enfants_menage_14,Agent_0,Valeur entière positive ou nulle (0 si aucun). Doit être ≤ nb_enfants_menage.
3,3,3,2,3,mistral-nemo:12b,data_VTC_survey,date_der_dep_vtc,Agent_0,Il y a plus de 12 mois
3,4,4,2,4,mistral-nemo:12b,data_VTC_survey,der_dep_vtc_agglo_res_on,Agent_0,Non
3,3,4,2,4,mistral-nemo:12b,data_VTC_survey,agglo_der_dep,Agent_0,Agglomération parisienne
1,1,1,1,3,mistral-nemo:12b,data_VTC_survey,agglo_der_dep_autre,Agent_0,Champ texte libre — nom de la ville ou agglomération si la réponse à 'agglo_der_dep' est 'Ailleurs en France'.
2,4,5,2,3,mistral-nemo:12b,data_VTC_survey,app_der_dep_vtc_on,Agent_0,Non
2,3,4,2,3,mistral-nemo:12b,data_VTC_survey,app_der_dep_vtc,Agent_0,Autre
1,1,1,1,3,mistral-nemo:12b,data_VTC_survey,app_der_dep_vtc_autre,Agent_0,Champ texte libre — nom de l'application VTC si la réponse à 'app_der_dep_vtc' est 'Autre'.
3,3,2,2,2,mistral-nemo:12b,data_VTC_survey,prix_estime_trajet_vtc_20min,Agent_0,Valeur numérique en euros (€)
3,3,4,2,4,mistral-nemo:12b,data_VTC_survey,avis_prix_estime_trajet_vtc_20min,Agent_0,Elevé
3,3,2,2,2,mistral-nemo:12b,data_VTC_survey,prix_estime_trajet_taxi_20min,Agent_0,Valeur numérique en euros (€)
3,3,4,2,3,mistral-nemo:12b,data_VTC_survey,avis_prix_estime_trajet_taxi_20min,Agent_0,Elevé
2,4,3,2,4,mistral-nemo:12b,data_VTC_survey,nb_voitures,Agent_0,2
2,3,4,2,3,mistral-nemo:12b,data_VTC_survey,nb_voitures_hybride_ou_elec,Agent_0,2
2,4,4,2,3,mistral-nemo:12b,data_VTC_survey,nb_2rm,Agent_0,2
2,3,4,2,4,mistral-nemo:12b,data_VTC_survey,nb_velo_meca,Agent_0,2
2,3,3,2,3,mistral-nemo:12b,data_VTC_survey,nb_velo_elec,Agent_0,2
2,4,4,2,3,mistral-nemo:12b,data_VTC_survey,nb_trot_meca,Agent_0,2
2,3,4,2,3,mistral-nemo:12b,data_VTC_survey,nb_trot_elec,Agent_0,2
3,3,4,2,3,mistral-nemo:12b,data_VTC_survey,permis_conduire_1,Agent_0,Non
3,3,3,2,3,mistral-nemo:12b,data_VTC_survey,permis_conduire_2,Agent_0,Non
4,3,4,2,4,mistral-nemo:12b,data_VTC_survey,temps_marche_bus,Agent_0,Entre 15 et 20 minutes
2,3,4,2,3,mistral-nemo:12b,data_VTC_survey,temps_marche_tram,Agent_0,Entre 15 et 20 minutes
2,3,4,2,2,mistral-nemo:12b,data_VTC_survey,temps_marche_metro,Agent_0,Entre 15 et 20 minutes
3,3,3,2,4,mistral-nemo:12b,data_VTC_survey,temps_marche_gare,Agent_0,Entre 15 et 20 minutes
3,4,4,2,4,mistral-nemo:12b,data_VTC_survey,abo_tc,Agent_0,Non
4,5,5,2,4,mistral-nemo:12b,data_VTC_survey,velo_trott_lld,Agent_0,Non
2,3,4,2,3,mistral-nemo:12b,data_VTC_survey,vtc_dispo,Agent_0,Je ne sais pas
2,4,4,2,3,mistral-nemo:12b,data_VTC_survey,taxi_dispo,Agent_0,Je ne sais pas
3,3,3,2,4,mistral-nemo:12b,data_VTC_survey,freq_marche,Agent_0,1 fois par semaine
2,3,4,2,3,mistral-nemo:12b,data_VTC_survey,freq_vp_cond,Agent_0,2 à 3 fois par mois
3,3,4,2,4,mistral-nemo:12b,data_VTC_survey,freq_vp_passager,Agent_0,2 à 3 fois par mois
3,4,3,2,4,mistral-nemo:12b,data_VTC_survey,freq_voit_loc,Agent_0,2 à 3 fois par mois
3,3,3,2,3,mistral-nemo:12b,data_VTC_survey,freq_drm_perso,Agent_0,2 à 3 fois par mois
3,4,3,2,4,mistral-nemo:12b,data_VTC_survey,freq_drm_partage,Agent_0,2 à 3 fois par mois
3,3,4,2,4,mistral-nemo:12b,data_VTC_survey,freq_velo_perso,Agent_0,2 à 3 fois par mois
3,4,3,2,4,mistral-nemo:12b,data_VTC_survey,freq_velo_partage,Agent_0,2 à 3 fois par mois
3,4,3,2,4,mistral-nemo:12b,data_VTC_survey,freq_trott_partage,Agent_0,2 à 3 fois par mois
