accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,tp1,Agent_0,Enregistrez le code identifiant le fichier trajet (valeur fixe = 4).
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,zft,Agent_0,Renseignez le code de zone fine de résidence dans le fichier trajet.
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,ech,Agent_0,Saisissez le numéro d'échantillon attribué au ménage enquêté.
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,per,Agent_0,Saisissez le numéro d'identification de la personne au sein du ménage.
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,ndep,Agent_0,Saisissez le numéro séquentiel attribué au déplacement dans la journée de la personne.
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,t1,Agent_0,Saisissez le numéro séquentiel du trajet au sein du déplacement.
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,t2,Agent_0,Notez le temps de marche à pied en minutes au départ du trajet.
2,4,4,3,4,mistral-nemo:12b,data_lyon_EDGT,t3,Agent_0,11: CONDUCTEUR DE VÉLO
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,t4,Agent_0,Renseignez le code de zone correspondant au point de départ du mode mécanisé.
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,t5,Agent_0,Précisez le code de zone au point d'arrivée du mode mécanisé.
2,3,2,3,2,mistral-nemo:12b,data_lyon_EDGT,t6,Agent_0,en minutes
2,4,4,3,4,mistral-nemo:12b,data_lyon_EDGT,t7,Agent_0,1 à 4: NUMERO VEHICULE (FICHE MENAGE)
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,t8,Agent_0,Notez le nombre total d'occupants à bord du véhicule durant ce trajet.
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,t8a,Agent_0,Renseignez le nombre de passagers majeurs présents dans le véhicule
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,t8b,Agent_0,Indiquez le nombre de passagers mineurs à bord du véhicule
2,4,4,3,4,mistral-nemo:12b,data_lyon_EDGT,t9,Agent_0,1: DANS UN GARAGE
2,4,4,3,4,mistral-nemo:12b,data_lyon_EDGT,t10,Agent_0,3: PAYANT A VOTRE CHARGE
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,t11,Agent_0,Mentionnez le temps consacré à la recherche d'une place de stationnement
1,1,1,1,3,mistral-nemo:12b,data_lyon_EDGT,t8c,Agent_0,Précisez combien de personnes présentes dans le véhicule n'appartiennent pas au foyer de l'enquêté.
2,3,2,3,2,mistral-nemo:12b,data_lyon_EDGT,tois,Agent_0,exprimée en mètres.
2,3,2,3,2,mistral-nemo:12b,data_lyon_EDGT,tdis,Agent_0,en mètres.
