accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
2,3,3,1,2,mistral:7b,data_MyDailyTravelData,source,Agent_0,1: CMAP website
2,3,5,1,4,mistral:7b,data_MyDailyTravelData,cravl,Agent_0,1: Yes
1,1,1,1,3,mistral:7b,data_MyDailyTravelData,fare,Agent_0,nan
1,1,1,1,3,mistral:7b,data_MyDailyTravelData,payf,Agent_0,nan
1,1,1,1,3,mistral:7b,data_MyDailyTravelData,payf_o,Agent_0,nan
2,3,4,1,2,mistral:7b,data_MyDailyTravelData,paypk,Agent_0,2: No
2,3,4,1,2,mistral:7b,data_MyDailyTravelData,pkamt,Agent_0,0
1,1,1,1,3,mistral:7b,data_MyDailyTravelData,pkbas,Agent_0,nan
2,3,2,2,1,mistral:7b,data_MyDailyTravelData,pkbas_o,Agent_0,"I live in the same house I've owned for the past 17 years. It's a place I've come to cherish, and I'm grateful to have a steady home. I don't use public transit often, but when I need to go somewhere,"
2,3,4,2,4,mistral:7b,data_MyDailyTravelData,prkty,Agent_0,4: Driveway/garage
2,3,2,2,2,mistral:7b,data_MyDailyTravelData,prkty_o,Agent_0,"I don't need to park anywhere as I live in the same house I've owned for the past 17 years. It's a place I've come to cherish, and I'm grateful to have a steady home. I don't use public transit often,"
2,3,5,2,4,mistral:7b,data_MyDailyTravelData,tpurp,Agent_0,1: 01. Typical home activities
2,3,4,2,2,mistral:7b,data_MyDailyTravelData,tpurp_o,Agent_0,"My main activity here is tending to my garden, reading, and staying active in the community. I also volunteer at the local library, helping children with their homework."
2,3,4,2,4,mistral:7b,data_MyDailyTravelData,tpurp2,Agent_0,1: 01. Typical home activities
2,3,4,2,2,mistral:7b,data_MyDailyTravelData,tpurp2_o,Agent_0,"In addition to tending to my garden, reading, and volunteering at the local library, I also enjoy the quiet moments of the morning coffee and a good book. I find these simple pleasures bring me peace "
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,tpurp_check,Agent_0,1: Yes
1,3,4,2,4,mistral:7b,data_MyDailyTravelData,trip_appt,Agent_0,1: Not at all
2,3,4,2,2,mistral:7b,data_MyDailyTravelData,trip_appt_why,Agent_0,6: I believe it is important to be on time.
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why_1,Agent_0,6: I believe it is important to be on time.
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why_2,Agent_0,6: I believe it is important to be on time.
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why_3,Agent_0,6: I believe it is important to be on time.
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why_4,Agent_0,6: I believe it is important to be on time.
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why_5,Agent_0,6: I believe it is important to be on time.
2,3,5,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why_6,Agent_0,6: I believe it is important to be on time.
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why_se,Agent_0,6: I believe it is important to be on time.
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why_rf,Agent_0,6: I believe it is important to be on time.
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why_dk,Agent_0,6: I believe it is important to be on time.
2,3,4,2,2,mistral:7b,data_MyDailyTravelData,trip_appt_why_o,Agent_0,"I believe it is important to be on time, but since I don't drive and rely on family or caregivers for transportation, my arrival times may not always be as precise as I'd like."
2,3,4,2,2,mistral:7b,data_MyDailyTravelData,trip_appt_why2,Agent_0,1: Left earlier to allow extra time
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why2_1,Agent_0,1: Left earlier to allow extra time
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why2_2,Agent_0,1: Left earlier to allow extra time
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why2_3,Agent_0,1: Left earlier to allow extra time
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why2_4,Agent_0,1: Left earlier to allow extra time
2,3,5,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why2_5,Agent_0,1: Left earlier to allow extra time
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why2_se,Agent_0,1: Left earlier to allow extra time
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why2_rf,Agent_0,1: Left earlier to allow extra time
2,3,4,2,3,mistral:7b,data_MyDailyTravelData,trip_appt_why2_dk,Agent_0,1: Left earlier to allow extra time
2,3,2,2,2,mistral:7b,data_MyDailyTravelData,trip_appt_why2_o,Agent_0,"I usually leave earlier to allow extra time, but if I need help from family or a caregiver to drive, they might take a different route to avoid toll roads."
