Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
gemma3:27b,data_hanoi,accuracy,2.29,0.88,2.0,1,4,10600,"1: 1573, 2: 5886, 3: 1662, 4: 1479"
gemma3:27b,data_hanoi,relevance,4.0,0.94,4.0,2,5,10600,"2: 1573, 4: 5886, 5: 3141"
gemma3:27b,data_hanoi,coherence,4.0,0.94,4.0,2,5,10600,"2: 1573, 4: 5886, 5: 3141"
gemma3:27b,data_hanoi,completeness,2.94,0.91,3.0,1,4,10600,"1: 1573, 3: 6548, 4: 2479"
gemma3:27b,data_hanoi,fluency,3.09,0.61,3.0,2,4,10600,"2: 1573, 3: 6548, 4: 2479"
gemma3:27b,data_lyon_EDGT,accuracy,2.72,1.92,1.0,1,5,45800,"1: 25216, 3: 141, 4: 3303, 5: 17140"
gemma3:27b,data_lyon_EDGT,relevance,2.79,1.98,1.0,1,5,45800,"1: 25216, 3: 141, 4: 103, 5: 20340"
gemma3:27b,data_lyon_EDGT,coherence,2.79,1.98,1.0,1,5,45800,"1: 25216, 3: 141, 4: 103, 5: 20340"
gemma3:27b,data_lyon_EDGT,completeness,2.79,1.99,1.0,1,5,45800,"1: 25216, 4: 244, 5: 20340"
gemma3:27b,data_lyon_EDGT,fluency,2.89,0.99,2.0,2,4,45800,"2: 25216, 3: 244, 4: 20340"
gemma3:27b,data_MyDailyTravelData,accuracy,1.7,0.46,2.0,1,2,36200,"1: 10955, 2: 25245"
gemma3:27b,data_MyDailyTravelData,relevance,1.82,0.39,2.0,1,2,36200,"1: 6555, 2: 29645"
gemma3:27b,data_MyDailyTravelData,coherence,4.66,0.75,5.0,1,5,36200,"1: 191, 3: 5026, 4: 1338, 5: 29645"
gemma3:27b,data_MyDailyTravelData,completeness,1.82,0.39,2.0,1,2,36200,"1: 6555, 2: 29645"
gemma3:27b,data_MyDailyTravelData,fluency,2.81,0.4,3.0,1,3,36200,"1: 191, 2: 6364, 3: 29645"
gemma3:27b,data_NYC_mobility,accuracy,2.99,0.31,3.0,1,4,35200,"1: 608, 3: 33680, 4: 912"
gemma3:27b,data_NYC_mobility,relevance,3.99,0.31,4.0,2,5,35200,"2: 608, 4: 33680, 5: 912"
gemma3:27b,data_NYC_mobility,coherence,3.01,0.38,3.0,1,5,35200,"1: 608, 3: 33680, 4: 312, 5: 600"
gemma3:27b,data_NYC_mobility,completeness,2.99,0.3,3.0,1,4,35200,"1: 608, 3: 33792, 4: 800"
gemma3:27b,data_NYC_mobility,fluency,4.0,0.19,4.0,3,5,35200,"3: 608, 4: 33992, 5: 600"
gemma3:27b,data_pmus_yaounde,accuracy,4.11,0.34,4.0,2,5,6800,"2: 20, 4: 5980, 5: 800"
gemma3:27b,data_pmus_yaounde,relevance,3.17,0.53,3.0,1,5,6800,"1: 20, 3: 5980, 4: 400, 5: 400"
gemma3:27b,data_pmus_yaounde,coherence,2.17,0.52,2.0,1,4,6800,"1: 20, 2: 5980, 3: 400, 4: 400"
gemma3:27b,data_pmus_yaounde,completeness,4.05,0.29,4.0,1,5,6800,"1: 20, 4: 6380, 5: 400"
gemma3:27b,data_pmus_yaounde,fluency,3.06,0.24,3.0,2,4,6800,"2: 20, 3: 6380, 4: 400"
gemma3:27b,data_VTC_survey,accuracy,2.9,0.89,3.0,1,5,27200,"1: 3800, 3: 19447, 4: 3131, 5: 822"
gemma3:27b,data_VTC_survey,relevance,3.87,0.83,4.0,2,5,27200,"2: 3800, 4: 19447, 5: 3953"
gemma3:27b,data_VTC_survey,coherence,2.93,0.95,3.0,1,5,27200,"1: 3800, 3: 19447, 4: 2131, 5: 1822"
gemma3:27b,data_VTC_survey,completeness,2.79,0.76,3.0,1,4,27200,"1: 3800, 3: 21578, 4: 1822"
gemma3:27b,data_VTC_survey,fluency,2.93,0.45,3.0,2,4,27200,"2: 3800, 3: 21578, 4: 1822"
