model,dataset,question,agent_id,response,accuracy,relevance,coherence,completeness,fluency
gemma2:9b,data_lyon_EDGT,tp1,Agent_0,Enregistrez le code identifiant le fichier trajet (valeur fixe = 4).,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,zft,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,ech,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,per,Agent_0,Saisissez le numéro d'identification de la personne au sein du ménage.,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,ndep,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,t1,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,t2,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,t3,Agent_0,11: CONDUCTEUR DE VÉLO,3,4,3,3,3
gemma2:9b,data_lyon_EDGT,t4,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,t5,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,t6,Agent_0,en minutes,3,4,3,3,3
gemma2:9b,data_lyon_EDGT,t7,Agent_0,1 à 4: NUMERO VEHICULE (FICHE MENAGE),3,4,3,3,3
gemma2:9b,data_lyon_EDGT,t8,Agent_0,Notez le nombre total d'occupants à bord du véhicule durant ce trajet.,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,t8a,Agent_0,Renseignez le nombre de passagers majeurs présents dans le véhicule,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,t8b,Agent_0,Indiquez le nombre de passagers mineurs à bord du véhicule,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,t9,Agent_0,0: ARRET POUR PRENDRE OU DEPOSER UNE PERSONNE,3,4,3,3,3
gemma2:9b,data_lyon_EDGT,t10,Agent_0,3: PAYANT A VOTRE CHARGE,3,4,3,3,3
gemma2:9b,data_lyon_EDGT,t11,Agent_0,Mentionnez le temps consacré à la recherche d'une place de stationnement,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,t8c,Agent_0,Précisez combien de personnes présentes dans le véhicule n'appartiennent pas au foyer de l'enquêté.,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,tois,Agent_0,Saisissez la distance à vol d'oiseau du trajet,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,tdis,Agent_0,Notez la distance effective parcourue lors de ce trajet,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,tdip,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,dp1,Agent_0,Enregistrez le code identifiant le fichier déplacement (valeur fixe = 3).,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,zfd,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,d2a,Agent_0,11: TRAVAIL SUR LE LIEU D’EMPLOI DÉCLARÉ,3,4,3,3,3
gemma2:9b,data_lyon_EDGT,d2b,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,d3,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,d4,Agent_0,Notez l'heure de départ du déplacement.,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,d5a,Agent_0,11: TRAVAIL SUR LE LIEU D’EMPLOI DÉCLARÉ,3,4,3,3,3
gemma2:9b,data_lyon_EDGT,d5b,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,d6,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,d7,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,d8,Agent_0,,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,d9,Agent_0,Enregistrez la durée totale du déplacement,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,d10,Agent_0,Indiquez le nombre de trajets mécanisés composant le déplacement.,2,3,3,2,2
gemma2:9b,data_lyon_EDGT,modp,Agent_0,Précisez le mode de transport principal retenu pour caractériser l'ensemble du déplacement.,2,3,3,2,2
