
================================================================================
HEADER
================================================================================
Model   : gpt-oss:20b
Dataset : data_lyon_EDGT
Results : 20260524_0407_results.csv
Oracle  : sampled_oracle.csv
Log     : log.txt
--------------------------------------------------------------------------------

================================================================================
TABLE 0 — GLOBAL SUMMARY
================================================================================
Category         Metric                      Value
---------------  --------------------------  ----------------------------
Run Info         Model                       ollama/gpt-oss:20b
Run Info         Temperature                 0.2
Run Info         N Agents                    200
Run Info         Duration (h)                91.42
Run Info         Start Time                  2026-05-24 04:07:08
Run Info         End Time                    2026-05-27 23:32:25
Run Info         Sample Size                 200
Run Info         Batch Size                  10
Run Info         Source                      GENERIC
Run Info         Sim Year                    2019
Columns          Matched (results<->oracle)  229
Columns          -> Categorical              34
Columns          -> Numeric                  46
Columns          -> Free-text                0
------------     ----------------------      ----------------------------
Entropy          Oracle Median               0.8094
Entropy          Agent Median                0.5995
Entropy          Agent Mean                  0.5939
KL Divergence    Median KL                   0.9704
KL Divergence    Mean KL                     3.2622
------------     ----------------------      ----------------------------
NLP - BLEU       Corpus BLEU                 0
NLP - ROUGE      ROUGE-1                     0.0
NLP - ROUGE      ROUGE-2                     0.0
NLP - ROUGE      ROUGE-L                     0.0
NLP - METEOR     METEOR                      0.0
NLP - BERTScore  F1                          0.85
------------     ----------------------      ----------------------------
Task Metrics     Success Rate (SR)           1.0
Task Metrics     N Successful / N Total      200 / 200
Task Metrics     Avg Field Coverage          0.9714
Task Metrics     Task Goal Completion        0.3543
Task Metrics     Median TGC                  0.3555
------------     ----------------------      ----------------------------
Factual          Global Accuracy             0.3071
Factual          Median Accuracy             0.2318
Relevance        Global Mean (TF-IDF)        0.0
Relevance        Global Median (TF-IDF)      0.0

================================================================================
COLUMN CLASSIFICATION  (auto-inferred from data)
================================================================================
Categorical      (34): ['t7', 't9', 't10', 'p5', 'p12', 'p17', 'p18', 'p26', 'p12a', 'p24b', 'm7c', 'm8c', 'm11c', 'm7d', 'm8d', 'm11d', 'm15a', 'm16a', 'm17a', 'm19a', 'm20a', 'o11', 'o14-1', 'o14-2', 'o14-3', 'o17-1', 'o17-2', 'o22-2', 'o24-2', 'o24-3', 'o25-2', 'o27-2', 'o27-3', 'o31']
Numeric          (46):     ['tp1', 't3', 'dp1', 'd2a', 'd5a', 'pp1', 'p1', 'p2', 'p3', 'p6', 'p7', 'p8', 'p9', 'p10', 'p11', 'p14', 'p16', 'p18a', 'p25', 'p24a', 'm1', 'm2', 'm3', 'm5', 'm7a', 'm8a', 'm11a', 'm7b', 'm8b', 'm11b', 'm23', 'op1', 'o9', 'o15', 'o20', 'o21', 'o22-1', 'o23', 'o24-1', 'o25-1', 'o26', 'o27-1', 'o29-1', 'o29-2', 'o32a', 'o33']
Free-text        (0):   []
Entropy/KL cols  (72):  ['t3', 't7', 't9', 't10', 'd5a', 'p1', 'p2', 'p3', 'p5', 'p6', 'p7', 'p8', 'p9', 'p10', 'p12', 'p16', 'p17', 'p18', 'p18a', 'p26', 'p12a', 'p24a', 'p24b', 'm1', 'm2', 'm3', 'm5', 'm7a', 'm8a', 'm11a', 'm7b', 'm8b', 'm11b', 'm7c', 'm8c', 'm11c', 'm7d', 'm8d', 'm11d', 'm15a', 'm16a', 'm17a', 'm19a', 'm20a', 'm23', 'o9', 'o11', 'o14-1', 'o14-2', 'o14-3', 'o15', 'o17-1', 'o17-2', 'o20', 'o21', 'o22-1', 'o22-2', 'o23', 'o24-1', 'o24-2', 'o24-3', 'o25-1', 'o25-2', 'o26', 'o27-1', 'o27-2', 'o27-3', 'o29-1', 'o29-2', 'o31', 'o32a', 'o33']


================================================================================
TABLE 1 — NORMALIZED SHANNON ENTROPY
================================================================================
Variable      # Categories    Entropy (Oracle)    Entropy (Agent)    Delta Entropy
----------  --------------  ------------------  -----------------  ---------------
t3                      13              0.6933             0.5268          -0.1665
t7                       7              0.8103             0.3256          -0.4846
t9                       6              0.7653             0.7154          -0.0499
t10                      4              0.2289             0.4872           0.2583
d5a                     20              0.6962             0.5477          -0.1485
p1                       2              0.1687             0.6997           0.531
p2                       2              0.9954             0.9648          -0.0306
p3                       6              0.8373             0.8138          -0.0235
p5                       3              0.5669             0.2213          -0.3456
p6                       2              0.7015             0.4846          -0.2168
p7                       3              0.5                0.4334          -0.0666
p8                       7              0.9092             0.8575          -0.0517
p9                       5              0.8117             0.7174          -0.0943
p10                      2              0.2189             0.4676           0.2487
p12                      4              0.8822             0.6709          -0.2113
p16                      4              0.8009             0.6502          -0.1507
p17                      4              0.7684             0.8061           0.0377
p18                      3              0.8512             0.5242          -0.327
p18a                     5              0.8067             0.4155          -0.3912
p26                      3              0.4367             0.4867           0.0501
p12a                     3              0.3594             0.5653           0.2059
p24a                     5              0.5525             0.6734           0.1209
p24b                     2              0.8366             0.3593          -0.4773
m1                       5              0.8248             0.8478           0.023
m2                       5              0.698              0.7664           0.0684
m3                       2              0.6461             0.0454          -0.6007
m5                       2              0.4022             0.2223          -0.1799
m7a                      3              0.3047             0.3855           0.0808
m8a                      7              0.6694             0.5394          -0.13
m11a                     4              0.4739             0.3927          -0.0812
m7b                      4              0.5145             0.6177           0.1032
m8b                      7              0.6855             0.6238          -0.0616
m11b                     4              0.6418             0.8983           0.2565
m7c                      2              0.6072             0.4793          -0.1278
m8c                      3              0.9506             0.6977          -0.2529
m11c                     2              0.551              0.7578           0.2068
m7d                      2              0.9024             0.3761          -0.5263
m8d                      3              0.813              0.6467          -0.1664
m11d                     2              0.9024             0.6189          -0.2835
m15a                     3              0.7671             0.5717          -0.1955
m16a                     4              0.9195             0.5597          -0.3598
m17a                     2              1                  0.9962          -0.0038
m19a                     2              0.4395             0.7606           0.3211
m20a                     2              0.684              0.4968          -0.1873
m23                      2              0.968              0.9295          -0.0384
o9                       5              0.7967             0.3631          -0.4336
o11                      3              0.9613             0.9699           0.0086
o14-1                    8              0.8406             0.5218          -0.3188
o14-2                    9              0.9184             0.6439          -0.2745
o14-3                    5              0.8611             0.6912          -0.1699
o15                      6              0.8572             0.7958          -0.0614
o17-1                   13              0.8533             0.656           -0.1973
o17-2                   10              0.905              0.5305          -0.3745
o20                      5              0.8474             0.6279          -0.2196
o21                      3              0.9596             0.9537          -0.0059
o22-1                    5              0.8588             0.597           -0.2618
o22-2                    4              0.869              0.602           -0.267
o23                      2              0.83               0.7318          -0.0982
o24-1                   10              0.8147             0.3063          -0.5084
o24-2                   11              0.8908             0.4843          -0.4065
o24-3                    6              0.8725             0.4969          -0.3756
o25-1                    7              0.6896             0.0857          -0.6039
o25-2                    6              0.902              0.5792          -0.3228
o26                      5              0.8084             0.1546          -0.6538
o27-1                   11              0.6788             0.7942           0.1154
o27-2                    8              0.8307             0.5407          -0.2899
o27-3                    6              0.817              0.6991          -0.1179
o29-1                   11              0.7696             0.3891          -0.3805
o29-2                   11              0.8923             0.4975          -0.3948
o31                      6              0.5641             0.7169           0.1529
o32a                     2              0.5562             0.7866           0.2305
o33                      3              0.9408             0.9008          -0.04

================================================================================
TABLE 2 — KL DIVERGENCE  P(Oracle) || Q(Agent)
================================================================================
Variable      KL Divergence (Oracle || Agent)  Rating
----------  ---------------------------------  --------------
t3                                     1.2808  moderate
t7                                    14.7721  poor
t9                                     0.6538  moderate
t10                                    0.1969  good
d5a                                   11.8185  poor
p1                                     0.7321  moderate
p2                                     0.0101  approx_perfect
p3                                     0.0546  good
p5                                     6.7034  poor
p6                                     0.0319  approx_perfect
p7                                     0.007   approx_perfect
p8                                     0.4078  good
