accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,centre ville,Agent_0,YAOUNDE
5,4,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q1_1,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q1_1_a,Agent_0,MOKOLO
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q1_1_b,Agent_0,CARREFOUR
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q1_1_c,Agent_0,AFANOYA
5,4,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q1_2,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q1_2_a,Agent_0,CARREFOUR LUMIERE
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q1_2_b,Agent_0,10 IEME ARRET
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q1_3_c,Agent_0,AFANOYA
4,3,4,4,3,mistral-nemo:12b,data_pmus_yaounde,q2_1,Agent_0,A PIED
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q2_2_1,Agent_0,2 CHEVEAU
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q2_2_2,Agent_0,ANCIEN CAMI
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q2_3_1,Agent_0,0LESOA
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q2_3_2,Agent_0,A PIED
5,4,5,4,4,mistral-nemo:12b,data_pmus_yaounde,q2_3,Agent_0,NON
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q2_4,Agent_0,A PIED
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q2_5_1,Agent_0,MOKOLO
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q2_5_2,Agent_0,0MPHINE
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q2_6_1,Agent_0,MOKOLO
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q2_6_2,Agent_0,11EME ARRET
4,4,5,4,4,mistral-nemo:12b,data_pmus_yaounde,q3_1,Agent_0,NON
4,3,4,4,3,mistral-nemo:12b,data_pmus_yaounde,q3_2,Agent_0,A PIED
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q3_3_1,Agent_0,MOKOLO
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q3_3_2,Agent_0,MOKOLO
5,4,2,5,2,mistral-nemo:12b,data_pmus_yaounde,q4_1_a,Agent_0,Veuillez indiquer depuis combien de temps vous attendez.
5,3,3,4,4,mistral-nemo:12b,data_pmus_yaounde,q4_1_b,Agent_0,PLUS DE 20 MINUTES
5,4,2,5,2,mistral-nemo:12b,data_pmus_yaounde,q4_2_a,Agent_0,Veuillez indiquer depuis combien de temps vous attendez.
4,3,4,4,3,mistral-nemo:12b,data_pmus_yaounde,q4_2_b,Agent_0,PLUS DE 1HEURE
4,4,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q4_3,Agent_0,1500
4,3,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q4_4,Agent_0,COURSES
4,3,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q4_4_autres,Agent_0,FAIRE DES ACHATS
5,3,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q5_1,Agent_0,ENTRE 36 ET 45 ANS
5,3,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q5_2,Agent_0,ENTRE 30 001 ET 100 000
5,4,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q5_3,Agent_0,HOMME
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,centre ville,Agent_1,YAOUNDE
5,4,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q1_1,Agent_1,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q1_1_a,Agent_1,MBAM ET KIM
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q1_1_b,Agent_1,SAA
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q1_1_c,Agent_1,AFANOYA
5,4,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q1_2,Agent_1,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,4,4,mistral-nemo:12b,data_pmus_yaounde,q1_2_a,Agent_1,ODZA
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q1_2_b,Agent_1,ODZA HAPPY
4,4,3,4,3,mistral-nemo:12b,data_pmus_yaounde,q1_3_c,Agent_1,AFANOYA
4,3,4,4,3,mistral-nemo:12b,data_pmus_yaounde,q2_1,Agent_1,PAR BUS AGENCE INTERURBAIN
