genre,genre_autre,age,diplome,diplome_autre,situation_professionnelle,csp,compo_menage,compo_menage_autre,nb_pers_menage,nb_enfants_menage,nb_enfants_menage_14,date_der_dep_vtc,der_dep_vtc_agglo_res_on,agglo_der_dep,agglo_der_dep_autre,app_der_dep_vtc_on,app_der_dep_vtc,app_der_dep_vtc_autre,prix_estime_trajet_vtc_20min,avis_prix_estime_trajet_vtc_20min,prix_estime_trajet_taxi_20min,avis_prix_estime_trajet_taxi_20min,nb_voitures,nb_voitures_hybride_ou_elec,nb_2rm,nb_velo_meca,nb_velo_elec,nb_trot_meca,nb_trot_elec,permis_conduire_1,permis_conduire_2,temps_marche_bus,temps_marche_tram,temps_marche_metro,temps_marche_gare,abo_tc,velo_trott_lld,vtc_dispo,taxi_dispo,freq_marche,freq_vp_cond,freq_vp_passager,freq_voit_loc,freq_drm_perso,freq_drm_partage,freq_velo_perso,freq_velo_partage,freq_trott_partage,freq_tc,freq_taxi,freq_vtc,freq_maas,motif_der_dep_vtc,motif_der_dep_vtc_autre,prix_der_dep_vtc,duree_der_dep_vtc,quels_modes_de_transport_avez-vous_utili1,quels_modes_de_transport_avez-vous_utili2,quels_modes_de_transport_avez-vous_utili3,quels_modes_de_transport_avez-vous_autre,renoncement_der_dep_vtc,report_modal_der_dep_vtc,report_modal_der_dep_vtc_autre,raison_vtc_der_dep_vtc1,raison_vtc_der_dep_vtc2,raison_vtc_der_dep_vtc3,raison_vtc_der_dep_vtc_autre,raison_non_usage_vtc1,raison_non_usage_vtc2,raison_non_usage_vtc3,raison_non_usage_vtc_autre,raison_non_usage_vtc_depuis_der_dep1,raison_non_usage_vtc_depuis_der_dep2,raison_non_usage_vtc_depuis_der_dep3,raison_non_usage_vtc_depuis_der_de_autre,mauvaise_exp1,mauvaise_exp2,mauvaise_exp3,mauvaise_exp_autre,trajet_domtrav_dometudes,accompagnement_proche,visite_proche,dep_pro,loisir,aeroport,gare_ou_tc,voyage_mode_principal,courses_ou_achats,courses_conventionnees,demarches_admin,raisons_usagevtc_potentiel1,raisons_usagevtc_potentiel2,raisons_usagevtc_potentiel3,raisons_usagevtc_potentiel_autre,services_vtc_potentiels1,services_vtc_potentiels2,services_vtc_potentiels3,services_vtc_potentiels_autre,date_der_dep_taxi,lieu_der_dep_taxi_jamaisvtc,motif_der_dep_taxi_jamaisvtc,motif_der_dep_taxi_jamaisvtc_autre,prix_der_dep_taxi_jamaisvtc,duree_der_dep_taxi_jamaisvtc,motif_der_dep_taxi_pasvtc_res,motif_der_dep_taxi_pasvtc_res_autre,prix_der_dep_taxi_pasvtc_res,duree_der_dep_taxi_pasvtc_res,future_mobilite_envisagee,future_mobilite_envisagee_autre,demotorisation_potentielle,raison_demoto_circulation,raison_demoto_stationnement,raison_demoto_changement,raison_demoto_moyens_financiers,raison_demoto_panne_ou_trop_vieux,raison_demoto_pref_tc,raison_demoto_pref_velo_ou_marche,raison_demoto_pref_taxi_ou_vtc,raison_demoto_pref_mobilite_partagee,demenagement_potentiel,aire_urbaine_demenagement_potentiel,situation_agglo_demenagement_potentiel,situation_agglo_demenagement_poten_autre,tc_destination_demenagement_potentiel,zfe_on,zfe_adaptation1,zfe_adaptation2,zfe_adaptation3,zfe_adaptation_autre,revenus,cat_csp,cat_age,cat_aire_urbaine,poids_redressement
Une femme,,18,Sans diplôme,,Etudiant.e,,Autre,Enfant du foyer,8.0,5.0,2.0,Il y a plus de 12 mois,Non,Agglomération parisienne,,Je ne sais plus,,,20,Elevé,15,Elevé,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,1,Mon ménage ne possède pas ce type de véhicule,Non,,Moins de 5 minutes,Il n'en existe pas à proximité de mon domicile,Plus de 20 minutes,Entre 15 et 20 minutes,Non,Non,"Oui, seulement à certaines périodes de l'année",Oui,Tous les jours ou presque,,Tous les jours ou presque,,,,,Jamais,Jamais,Moins d'une fois par mois,Moins d'une fois par mois,Moins d'une fois par mois,Jamais,Rejoindre ou quitter une gare/un aéroport/une station de transports en commun,,Entre 30 et 35 €,Plus de 30 minutes,La marche à pied,,,,Oui,Une autre offre de VTC (par exemple via une autre application),,"C'était plus sécurisant (agressions, vols, etc.)","C’était plus pratique (j’avais des bagages, …)","C'était plus sûr (pour arriver à l'heure, pour arriver sans me perdre...)",,,,,,Autre,,,Je n'en avais plus besoin,,,,,Jamais,Exceptionnellement,Jamais,Jamais,Jamais,Souvent,Jamais,Jamais,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,,,,Aucun service supplémentaire,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Non,,,,,,,,,,Non,,,,,Je ne sais pas,,,,,Je ne souhaite pas répondre,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de Paris,1.046426634
Une femme,,43,"Bac +2 (BTS, DUT)",,Actif.ve à temps plein (+32 h / semaine),Profession intermédiaire,En couple avec enfant(s),,7.0,5.0,4.0,Il y a plus de 12 mois,Non,Agglomération parisienne,,Non,,,30,Elevé,40,Très élevé,3 ou plus,Mon ménage ne possède pas ce type de véhicule,1,3 ou plus,Mon ménage ne possède pas ce type de véhicule,3 ou plus,1,"Oui, permis B",,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Non,Non,Non,Oui,1 fois par semaine,Tous les jours ou presque,2 à 3 fois par mois,Jamais,,,Moins d'une fois par mois,Jamais,Jamais,Moins d'une fois par mois,Moins d'une fois par mois,Moins d'une fois par mois,1 fois par semaine,Déplacement professionnel,,Entre 15 et 20 €,Entre 10 et 15 minutes,"Un(e) voiture, moto ou scooter personnel(le)",,,,Oui,"Les transports en commun (métro, tram, bus, RER, TER)",,"C'était plus sûr (pour arriver à l'heure, pour arriver sans me perdre...)","C'était plus sécurisant (agressions, vols, etc.)","C’était plus pratique (j’avais des bagages, …)",,,,,,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,Le service est trop cher,,,,,,,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Souvent,Exceptionnellement,Exceptionnellement,Jamais,Exceptionnellement,Exceptionnellement,Service de meilleure qualité par rapport à d'autres moyens de transport,,,,Equipement en sièges pour enfants,Déplacement pour raison médicale remboursé par l’assurance maladie,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Non,,,,,,,,,,Non,,,,,Non,,,,,De 4 000 à 5 000 €,Profession intermédiaire,40-49 ans,Aire urbaine de moins de 100 000 habitants,0.740686516
Autre,genderfluids,19,Sans diplôme,,Sans activité professionnelle,,Autre,chez mes parent,4.0,0.0,0.0,Je n'en ai jamais utilisé,,,,,,,50,Elevé,20,Elevé,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Non,,Moins de 5 minutes,Entre 10 et 15 minutes,Plus de 20 minutes,Entre 15 et 20 minutes,Oui,Non,Non,Non,Tous les jours ou presque,,Jamais,,,,,Jamais,Jamais,Tous les jours ou presque,Jamais,Jamais,Tous les jours ou presque,,,,,,,,,,,,,,,,Je préfère d'autres moyens de transport,,,,,,,,,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,,,,Déplacement pour raison médicale remboursé par l’assurance maladie,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,,,,,,,,,,,Oui,Aire urbaine de Paris,En zone périurbaine d'une agglomération,,Je ne sais pas,Je ne sais pas,,,,,Je ne souhaite pas répondre,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de Paris,0.0
Un homme,,29,Bac + 4 (Maîtrise),,Actif.ve en recherche d'emploi,"Cadre, Profession intellectuelle supérieure",Autre,FAMILLE,4.0,0.0,0.0,Il y a plus de 12 mois,Non,Agglomération parisienne,,Oui,Uber,,20,Adéquat,40,Elevé,2,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Non,,Entre 5 et 10 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Plus de 20 minutes,Non,Non,Je ne sais pas,Je ne sais pas,Tous les jours ou presque,,Moins d'une fois par mois,,,,Moins d'une fois par mois,Jamais,Jamais,2 à 3 fois par mois,Jamais,Jamais,2 à 3 fois par mois,"Faire une sortie de loisir ou culturelle (restaurant, boîte de nuit, complexe sportif, musée, plage…)",,Entre 25 et 30 €,Plus de 30 minutes,La marche à pied,,,,Oui,"Les transports en commun (métro, tram, bus, RER, TER)",,Autre,C'était plus rapide,,Volonté d'autres personnes,,,,,Je préfère d’autres moyens de transport,,,,,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Exceptionnellement,Jamais,Jamais,Jamais,Ça me permet de me déplacer facilement avec des proches,Ça me permet de me déplacer avec mon animal de compagnie,,,Déplacement pour raison médicale remboursé par l’assurance maladie,Embarquement d’un vélo ou d’un autre équipement encombrant,Transport de personnes à mobilité réduite (PMR) ou en situation de handicap,,,,,,,,,,,,J'utiliserai davantage les transports en commun,,Non,,,,,,,,,,Oui,Aire urbaine de plus de 200 000 habitants (hors aire urbaine de Paris),En deuxième couronne d'une agglomération,,Mieux desservie,Non,,,,,De 2 000 € à 3 000 €,En recherche d'emploi,18-29 ans,Aire urbaine de moins de 100 000 habitants,0.420448112
Une femme,,20,Baccalauréat,,Etudiant.e,,Autre,Chez mes parents,9.0,7.0,3.0,Je n'en ai jamais utilisé,,,,,,,39,Adéquat,20,Elevé,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,1,Mon ménage ne possède pas ce type de véhicule,2,1,Non,,Entre 5 et 10 minutes,Entre 5 et 10 minutes,Entre 10 et 15 minutes,Entre 10 et 15 minutes,Oui,Non,"Oui, tout le temps",Non,Tous les jours ou presque,,Moins d'une fois par mois,,,,2 à 3 fois par mois,Jamais,Jamais,Tous les jours ou presque,Jamais,Jamais,Tous les jours ou presque,,,,,,,,,,,,,,,,Je ne connais pas ce service,,,,,,,,,,,,Exceptionnellement,Exceptionnellement,Jamais,Souvent,Exceptionnellement,A chaque fois,Souvent,A chaque fois,Jamais,Exceptionnellement,Jamais,Service de meilleur rapport qualité/prix par rapport aux taxis,Ça me permet de me déplacer avec mon animal de compagnie,Ça me permet de me déplacer plus facilement en tant que personne à mobilité réduite,,Déplacement pour raison médicale remboursé par l’assurance maladie,Equipement en sièges pour enfants,Embarquement d’un vélo ou d’un autre équipement encombrant,,,,,,,,,,,,J'utiliserai davantage le vélo ou marcherai plus,,Non,,,,,,,,,,Non,,,,,Non,,,,,De 2 000 € à 3 000 €,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de Paris,1.046426634
Une femme,,53,"CAP, BEP",,Actif.ve en recherche d'emploi,Ouvrier.ère,Seul.e avec enfant(s),,1.0,0.0,0.0,Je n'en ai jamais utilisé,,,,,,,50,Très élevé,50,Très élevé,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Entre 5 et 10 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Entre 10 et 15 minutes,Oui,Non,Je ne sais pas,Je ne sais pas,Jamais,,1 fois par semaine,Jamais,,,,Jamais,Jamais,Moins d'une fois par mois,Jamais,Jamais,Moins d'une fois par mois,,,,,,,,,,,,,,,,Le service est trop cher,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,,,,,,,,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Exceptionnellement,Exceptionnellement,Jamais,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,,,,Déplacement pour raison médicale remboursé par l’assurance maladie,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,,,,,,,,,,,Non,,,,,Je ne sais pas,,,,,Moins de 1 000 €,En recherche d'emploi,50-59 ans,Aire urbaine de Paris,0.361761884
Un homme,,54,Supérieur à Bac + 5,,Actif.ve à temps plein (+32 h / semaine),"Artisan.e, Commerçant.e, Chef.fe d'entreprise",En couple avec enfant(s),,5.0,3.0,2.0,Il y a moins de 12 mois,Non,Agglomération parisienne,,Oui,Uber,,25,Elevé,35,Elevé,3 ou plus,Mon ménage ne possède pas ce type de véhicule,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis A (motos et scooters)","Oui, permis B",Entre 15 et 20 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Non,Non,Non,Oui,Tous les jours ou presque,Tous les jours ou presque,Jamais,Jamais,2 à 3 fois par semaine,Jamais,,Jamais,Jamais,Moins d'une fois par mois,2 à 3 fois par mois,2 à 3 fois par mois,2 à 3 fois par mois,Déplacement professionnel,,Entre 25 et 30 €,Entre 20 et 30 minutes,La marche à pied,L'avion,,,Oui,Un taxi,,C'était plus confortable,"C’était plus pratique (j’avais des bagages, …)","C'était plus sûr (pour arriver à l'heure, pour arriver sans me perdre...)",,,,,,Autre,,,Pas eu besoin,,,,,Souvent,Exceptionnellement,Jamais,Souvent,Jamais,A chaque fois,A chaque fois,Jamais,Jamais,Jamais,Jamais,Ça me permet de me déplacer facilement avec des proches,Service de meilleur rapport qualité/prix par rapport aux taxis,Ça me permet de me déplacer avec mon animal de compagnie,,Acceptation des animaux à bord,Transport de personnes à mobilité réduite (PMR) ou en situation de handicap,"Aide au déménagement, pour le transport de mes effets personnels",,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Je ne sais pas,Ne se prononce pas,Ne se prononce pas,Plutôt pas d'accord,Plutôt pas d'accord,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Non,,,,,Non,,,,,De 11 000 € à 12 000 €,"Artisan.e, Commerçant.e, Chef.fe d'entreprise",50-59 ans,Aire urbaine entre 100 000 et 200 000 habitants,0.823576604
Une femme,,52,Brevet des collèges,,Actif.ve à temps partiel (-32 h / semaine),Ouvrier.ère,Seul.e avec enfant(s),,1.0,1.0,0.0,Je n'en ai jamais utilisé,,,,,,,15,Très élevé,25,Très élevé,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Moins de 5 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Entre 10 et 15 minutes,Non,Non,Je ne sais pas,Oui,Tous les jours ou presque,,Jamais,Jamais,,,,Jamais,Jamais,1 fois par mois,Jamais,Jamais,1 fois par mois,,,,,,,,,,,,,,,,Le service est trop cher,,,,,,,,,,,,Exceptionnellement,Exceptionnellement,Exceptionnellement,Jamais,Jamais,Exceptionnellement,Exceptionnellement,Jamais,Jamais,Exceptionnellement,Exceptionnellement,Si aucune autre offre de transport n'est disponible seulement,,,,Acceptation des animaux à bord,,,,,,,,,,,,,,J'utiliserai davantage les transports en commun,,,,,,,,,,,,Non,,,,,Je ne sais pas,,,,,Moins de 1 000 €,Ouvrier.ère,50-59 ans,Aire urbaine entre 100 000 et 200 000 habitants,0.791285773
Un homme,,49,Supérieur à Bac + 5,,Actif.ve à temps plein (+32 h / semaine),"Artisan.e, Commerçant.e, Chef.fe d'entreprise",En couple avec enfant(s),,4.0,2.0,1.0,Il y a moins de 12 mois,Non,Agglomération parisienne,,Oui,Uber,,30,Adéquat,25,Adéquat,1,1,1,3 ou plus,1,2,Mon ménage ne possède pas ce type de véhicule,"Oui, permis A (motos et scooters)","Oui, permis B",Moins de 5 minutes,Plus de 20 minutes,Moins de 5 minutes,Plus de 20 minutes,Oui,Non,"Oui, tout le temps",Oui,Tous les jours ou presque,2 à 3 fois par semaine,Jamais,Jamais,2 à 3 fois par mois,Jamais,2 à 3 fois par mois,Jamais,Jamais,Tous les jours ou presque,1 fois par mois,Moins d'une fois par mois,2 à 3 fois par mois,Déplacement professionnel,,Plus de 35 €,Plus de 30 minutes,L'avion,,,,Oui,Une voiture personnelle,,C'était plus confortable,"C’était plus pratique (j’avais des bagages, …)",C'était plus rapide,,,,,,Je préfère le taxi,,,,,,,,Exceptionnellement,Souvent,Exceptionnellement,Souvent,Exceptionnellement,Souvent,Souvent,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Service de meilleure qualité par rapport à d'autres moyens de transport,Ça me permet de me déplacer facilement avec des proches,Si aucune autre offre de transport n'est disponible seulement,,Aucun service supplémentaire,,,,Il y a moins de 12 mois,,,,,,Rejoindre ou quitter une gare/un aéroport/une station de transports en commun,,Plus de 35 €,Plus de 30 minutes,Je n'envisage pas de changements particuliers,,Je ne sais pas,Plutôt d'accord,Plutôt d'accord,Ne se prononce pas,Pas d'accord du tout,Plutôt pas d'accord,Plutôt d'accord,Plutôt d'accord,Pas d'accord du tout,Pas d'accord du tout,Non,,,,,Oui,J'adapterai mon ou mes véhicule(s) ou en changerai,J’utiliserai davantage les transports en commun,,,De 8 000 € à 9 000 €,"Artisan.e, Commerçant.e, Chef.fe d'entreprise",40-49 ans,Aire urbaine de Paris,0.94349872
Une femme,,38,Supérieur à Bac + 5,,Actif.ve en recherche d'emploi,"Artisan.e, Commerçant.e, Chef.fe d'entreprise",En couple avec enfant(s),,5.0,3.0,3.0,Il y a plus de 12 mois,Non,Agglomération parisienne,,Oui,Uber,,30,Adéquat,35,Adéquat,2,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,3 ou plus,Mon ménage ne possède pas ce type de véhicule,2,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Moins de 5 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Plus de 20 minutes,Non,Non,Je ne sais pas,Je ne sais pas,2 à 3 fois par mois,Tous les jours ou presque,Jamais,Jamais,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,2 à 3 fois par mois,"Faire une sortie de loisir ou culturelle (restaurant, boîte de nuit, complexe sportif, musée, plage…)",,Je ne sais plus,Entre 20 et 30 minutes,"Les transports en commun (métro, tram, bus, RER)",,,,Je ne sais pas,,,,,,,,,,,Autre,,,pas besoin,,,,,Jamais,Jamais,Jamais,Exceptionnellement,Jamais,Exceptionnellement,Exceptionnellement,Jamais,Jamais,Exceptionnellement,Jamais,Service de meilleure qualité par rapport à d'autres moyens de transport,,,,Equipement en sièges pour enfants,Déplacement pour raison médicale remboursé par l’assurance maladie,,,,,,,,,,,,,J'utiliserai davantage le vélo ou marcherai plus,,Non,,,,,,,,,,Non,,,,,Non,,,,,De 4 000 à 5 000 €,En recherche d'emploi,30-39 ans,Aire urbaine de Paris,0.31015662
