
================================================================================
HEADER
================================================================================
Model   : llama3.1:8b
Dataset : data_MyDailyTravelData
Results : 20260531_1107_results.csv
Oracle  : sampled_oracle.csv
Log     : log.txt
--------------------------------------------------------------------------------

================================================================================
TABLE 0 — GLOBAL SUMMARY
================================================================================
Category         Metric                      Value
---------------  --------------------------  ----------------------------
Run Info         Model                       ollama/llama3.1:8b
Run Info         Temperature                 0.2
Run Info         N Agents                    200
Run Info         Duration (h)                12.61
Run Info         Start Time                  2026-05-31 11:07:07
Run Info         End Time                    2026-05-31 23:43:53
Run Info         Sample Size                 200
Run Info         Batch Size                  10
Run Info         Source                      GENERIC
Run Info         Sim Year                    2019
Columns          Matched (results<->oracle)  181
Columns          -> Categorical              82
Columns          -> Numeric                  80
Columns          -> Free-text                1
------------     ----------------------      ----------------------------
Entropy          Oracle Median               0.66
Entropy          Agent Median                0.6558
Entropy          Agent Mean                  0.5929
KL Divergence    Median KL                   2.0644
KL Divergence    Mean KL                     6.3511
------------     ----------------------      ----------------------------
NLP - BLEU       Corpus BLEU                 0.0043
NLP - ROUGE      ROUGE-1                     0.5555
NLP - ROUGE      ROUGE-2                     0.0
NLP - ROUGE      ROUGE-L                     0.5555
NLP - METEOR     METEOR                      0.2329
NLP - BERTScore  F1                          0.9507
------------     ----------------------      ----------------------------
Task Metrics     Success Rate (SR)           1.0
Task Metrics     N Successful / N Total      200 / 200
Task Metrics     Avg Field Coverage          0.9963
Task Metrics     Task Goal Completion        0.2174
Task Metrics     Median TGC                  0.2284
------------     ----------------------      ----------------------------
Factual          Global Accuracy             0.1986
Factual          Median Accuracy             0.014
Relevance        Global Mean (TF-IDF)        0.4011
Relevance        Global Median (TF-IDF)      0.1372

================================================================================
COLUMN CLASSIFICATION  (auto-inferred from data)
================================================================================
Categorical      (82): ['source', 'cravl', 'payf', 'pkbas_o', 'prkty', 'prkty_o', 'tpurp2_o', 'tpurp_check', 'trip_appt', 'trip_appt_why2_o', 'placegroup', 'time_distance_flag', 'age18', 'hisp_o', 'race_o', 'jobs', 'wkstat', 'wkstat_o', 'wplace', 'wmode', 'wmode_o', 'pervh', 'wrkhrs', 'wtrav', 'occup', 'occup_o', 'indus', 'indus_o', 'emply_transit', 'emply_transit_o', 'emply_park', 'emply_park_o', 'stude', 'schol', 'schol_o', 'sweb', 'smode', 'smode_o', 'educ_o', 'hptol_o', 'pay_allday', 'tolltrip', 'carptowk', 'walktowk', 'biketowk', 'ribus', 'tcoff', 'tcdays', 'compr', 'compr_o', 'wkflex', 'tnc_purp', 'dtype_o', 'dtype2', 'traveldatause', 'traveldatadevice', 'traveldatadevice_o', 'traveldatamode', 'traveldatamode_o', 'transprob', 'transprob_o', 'restylast', 'restylast_o', 'restylast_zip', 'hhinc2', 'homeown_o', 'futuresurvey', 'resty_o', 'hhinc', 'vehyear', 'make', 'make_o', 'model', 'model_o', 'body', 'body_o', 'fuel', 'fuel_o', 'transp', 'parkd', 'parkd_o', 'removed_places']
Numeric          (80):     ['fare', 'pkamt', 'tpurp', 'tpurp2', 'trip_appt_why_1', 'trip_appt_why_2', 'trip_appt_why_3', 'trip_appt_why_4', 'trip_appt_why_5', 'trip_appt_why_6', 'trip_appt_why_se', 'trip_appt_why_rf', 'trip_appt_why_dk', 'trip_appt_why2_1', 'trip_appt_why2_2', 'trip_appt_why2_3', 'trip_appt_why2_4', 'trip_appt_why2_5', 'trip_appt_why2_se', 'trip_appt_why2_rf', 'trip_appt_why2_dk', 'retmode_final', 'retmode', 'age', 'sex', 'relate', 'lic', 'hisp', 'race', 'smrtphn', 'emply_ask', 'volun_freq', 'wparkride', 'sloc', 'sparkride', 'educ', 'tolls', 'typpl', 'tnc_use', 'tnc_typ', 'tnc_cost', 'disab', 'nogowhy2_1', 'nogowhy2_2', 'nogowhy2_3', 'nogowhy2_4', 'nogowhy2_5', 'nogowhy2_rf', 'nogowhy2_dk', 'traveldatadevice_1', 'traveldatadevice_2', 'traveldatadevice_3', 'traveldatadevice_se', 'traveldatadevice_rf', 'traveldatadevice_dk', 'traveldatamode_1', 'traveldatamode_2', 'traveldatamode_3', 'traveldatamode_4', 'traveldatamode_5', 'traveldatamode_se', 'traveldatamode_rf', 'traveldatamode_dk', 'dtype_1', 'dtype_2', 'dtype_3', 'dtype_4', 'dtype_5', 'dtype_6', 'dtype_se', 'dtype_rf', 'dtype_dk', 'pertrips', 'hhveh', 'hlive', 'homeown', 'incendonate', 'resty', 'download', 'phase']
Free-text        (1):   ['dtype']
Entropy/KL cols  (117):  ['source', 'cravl', 'fare', 'payf', 'pkamt', 'prkty', 'tpurp2', 'tpurp2_o', 'tpurp_check', 'trip_appt', 'trip_appt_why_6', 'trip_appt_why_se', 'trip_appt_why2_1', 'trip_appt_why2_4', 'trip_appt_why2_5', 'placegroup', 'time_distance_flag', 'retmode_final', 'retmode', 'age18', 'sex', 'relate', 'lic', 'hisp', 'race', 'race_o', 'smrtphn', 'emply_ask', 'jobs', 'wkstat', 'wplace', 'wmode', 'wparkride', 'pervh', 'wrkhrs', 'wtrav', 'occup', 'occup_o', 'indus', 'indus_o', 'emply_transit', 'emply_transit_o', 'emply_park', 'emply_park_o', 'stude', 'schol', 'sloc', 'sweb', 'smode', 'sparkride', 'educ', 'hptol_o', 'pay_allday', 'tolls', 'tolltrip', 'typpl', 'carptowk', 'walktowk', 'biketowk', 'ribus', 'tcoff', 'tcdays', 'compr', 'wkflex', 'tnc_use', 'tnc_typ', 'tnc_cost', 'tnc_purp', 'disab', 'dtype_o', 'dtype2', 'nogowhy2_1', 'nogowhy2_2', 'nogowhy2_4', 'nogowhy2_5', 'traveldatause', 'traveldatadevice', 'traveldatadevice_1', 'traveldatadevice_2', 'traveldatadevice_3', 'traveldatadevice_se', 'traveldatadevice_o', 'traveldatamode', 'traveldatamode_1', 'traveldatamode_2', 'traveldatamode_3', 'traveldatamode_5', 'traveldatamode_se', 'traveldatamode_o', 'dtype_1', 'dtype_2', 'dtype_3', 'dtype_4', 'dtype_5', 'dtype_6', 'dtype_se', 'pertrips', 'hhveh', 'transprob', 'transprob_o', 'restylast', 'restylast_zip', 'hhinc2', 'homeown', 'futuresurvey', 'resty', 'hhinc', 'download', 'phase', 'vehyear', 'make', 'model', 'body', 'fuel', 'transp', 'parkd', 'removed_places']


================================================================================
TABLE 1 — NORMALIZED SHANNON ENTROPY
================================================================================
Variable               # Categories    Entropy (Oracle)    Entropy (Agent)    Delta Entropy
-------------------  --------------  ------------------  -----------------  ---------------
source                            2              0.92               0.4331          -0.4869
cravl                             2              0.4465             0.8622           0.4157
fare                              3              0.1572             0.5048           0.3476
payf                              7              0.8458             0.3797          -0.466
pkamt                             3              0.0573             0.0573           0
prkty                             3              0.7643             0.5653          -0.1989
tpurp2_o                          4              0.1178             0.9988           0.881
trip_appt                         5              0.7772             0.5304          -0.2467
trip_appt_why_6                   2              0.0454             0.0573           0.0119
trip_appt_why_se                  2              0.1944             0.6017           0.4073
trip_appt_why2_1                  2              0.0808             0.4529           0.3721
trip_appt_why2_4                  2              0.0454             0.1124           0.0669
trip_appt_why2_5                  2              0.1944             0.9385           0.7441
time_distance_flag                4              0.2031             0.6233           0.4202
retmode_final                     3              0.2066             0.135           -0.0717
retmode                           5              0.6765             0.2811          -0.3954
age18                             2              0.2189             0.4639           0.245
sex                               2              0.981              0.9615          -0.0195
relate                            7              0.6088             0.624            0.0153
lic                               2              0.9948             0.9965           0.0016
hisp                              2              0.9021             0.8555          -0.0467
race                              5              0.9091             0.7887          -0.1203
race_o                            2              0.2423             1                0.7577
smrtphn                           2              0.694              0.6343          -0.0597
emply_ask                         2              0.825              0.8503           0.0253
wkstat                            3              0.8082             0.9025           0.0944
wplace                            3              0.6666             0.7219           0.0553
wmode                             9              0.8402             0.7932          -0.0469
wparkride                         2              0.2648             0.669            0.4043
pervh                             2              0.1644             0.4846           0.3203
wtrav                             8              0.7445             0.5063          -0.2381
occup_o                           7              0.7355             0.9356           0.2
indus                             9              0.6526             0.7684           0.1157
indus_o                           5              0.6555             0.9536           0.2981
emply_transit_o                   2              0.1687             0.9937           0.825
emply_park                        3              0.7556             0.8764           0.1208
emply_park_o                      2              0.1687             0.9931           0.8244
stude                             3              0.9463             0.9891           0.0428
schol                             5              0.8893             0.8155          -0.0738
sloc                              2              0.5436             0.2189          -0.3247
smode                             6              0.793              0.8021           0.0091
sparkride                         2              0.5574             0.669            0.1116
educ                              6              0.922              0.0808          -0.8412
hptol_o                           2              0.1414             1                0.8586
pay_allday                        2              0.519              0.1687          -0.3504
tolls                             4              0.116              0.2496           0.1336
tolltrip                          2              0.3274             0.2648          -0.0627
typpl                             2              0.6136             0.8033           0.1896
carptowk                          3              0.4171             0.4846           0.0676
walktowk                          3              0.2601             0.1524          -0.1077
biketowk                          2              0.1654             0.0454          -0.12
ribus                             4              0.747              0.0454          -0.7016
tcoff                             2              0.9827             0.3659          -0.6168
tcdays                            3              0.6098             0.5293          -0.0805
wkflex                            2              0.9988             0.9896          -0.0092
tnc_use                           6              0.3298             0.2098          -0.1201
tnc_typ                           3              0.7029             0.1414          -0.5615
tnc_cost                          7              0.6884             0.6425          -0.0459
disab                             2              0.6649             0.9295           0.2646
dtype2                            2              0.9641             0.8191          -0.145
nogowhy2_1                        2              0.0454             0.1687           0.1232
nogowhy2_2                        2              0.0808             0.4196           0.3388
nogowhy2_4                        2              0.0808             0.2189           0.1381
nogowhy2_5                        2              0.2864             0.1687          -0.1177
traveldatause                     2              0.9829             0.7602          -0.2227
traveldatadevice                  8              0.7015             0.4905          -0.2109
traveldatadevice_1                2              0.3843             0.8267           0.4424
traveldatadevice_2                2              0.9878             0.7415          -0.2463
traveldatadevice_3                2              0.7866             0.6098          -0.1768
traveldatadevice_se               2              0.5294             0.5403           0.0109
traveldatamode                    7              0.745              0.7862           0.0411
traveldatamode_1                  2              0.795              0.8555           0.0604
traveldatamode_2                  2              0.7866             0.9427           0.1561
traveldatamode_3                  2              0.669              0.9468           0.2777
traveldatamode_5                  2              0.9648             0.1124          -0.8524
traveldatamode_se                 2              0.1687             0.7695           0.6009
traveldatamode_o                  2              0.1687             0.9981           0.8294
dtype_1                           2              0.6577             0.8191           0.1614
dtype_2                           2              0.3843             0.5436           0.1593
dtype_3                           2              0.4846             0.7118           0.2272
dtype_4                           2              0.1414             0.4196           0.2781
dtype_5                           2              0.4999             0.4846          -0.0153
dtype_6                           2              0.8813             0.9295           0.0482
dtype_se                          2              0.9507             0.7404          -0.2103
hhveh                             7              0.8626             0.7141          -0.1485
transprob                         7              0.8451             0.6287          -0.2164
transprob_o                       4              0.8174             1                0.1826
restylast                         4              0.6623             0.1687          -0.4936
hhinc2                            4              0.7168             0.8233           0.1065
homeown                           5              0.8884             0.0454          -0.843
resty                             3              0.9331             0.0454          -0.8877
hhinc                             9              0.782              0.7953           0.0132
download                          2              0.6343             0.7015           0.0672
body                              4              0.8047             0.1813          -0.6234
fuel                              2              0.1511             0.6707           0.5196
transp                            3              0.4802             0.2423          -0.2379
parkd                             3              0.7436             0.6889          -0.0547
removed_places                    4              0.6496             0.674            0.0245

================================================================================
TABLE 2 — KL DIVERGENCE  P(Oracle) || Q(Agent)
================================================================================
Variable               KL Divergence (Oracle || Agent)  Rating
-------------------  ---------------------------------  --------------
source                                         17.783   poor
cravl                                           0.1116  good
fare                                           18.0746  poor
payf                                            8.3885  poor
pkamt                                          18.2921  poor
prkty                                           0.5825  moderate
tpurp2_o                                       18.2573  poor
trip_appt                                       1.371   moderate
trip_appt_why_6                                 5.2404  poor
trip_appt_why_se                               18.2859  poor
trip_appt_why2_1                                2.2753  poor
trip_appt_why2_4                                0.0046  approx_perfect
trip_appt_why2_5                                0.3217  good
time_distance_flag                             18.1391  poor
retmode_final                                   0.0238  approx_perfect
retmode                                         0.4565  good
age18                                          17.6999  poor
sex                                             0.0024  approx_perfect
relate                                          0.0782  good
lic                                             0.0001  approx_perfect
hisp                                            0.0035  approx_perfect
race                                            0.1467  good
race_o                                         18.2527  poor
smrtphn                                         0.0025  approx_perfect
emply_ask                                       0.0008  approx_perfect
wkstat                                          2.227   poor
wplace                                          0.2843  good
wmode                                           1.6801  poor
wparkride                                      17.4169  poor
pervh                                           0.0488  approx_perfect
wtrav                                           2.4167  poor
occup_o                                        16.9894  poor
indus                                           4.0472  poor
indus_o                                        12.7224  poor
emply_transit_o                                18.3037  poor
emply_park                                      0.0594  good
emply_park_o                                   18.3037  poor
stude                                           0.0918  good
schol                                           1.13    moderate
sloc                                            2.561   poor
smode                                           1.9017  poor
sparkride                                      15.6646  poor
educ                                           10.3507  poor
hptol_o                                        18.3226  poor
pay_allday                                      0.0921  good
tolls                                          18.2599  poor
tolltrip                                        0.0024  approx_perfect
typpl                                           0.0262  approx_perfect
carptowk                                        0.7201  moderate
walktowk                                        0.0256  approx_perfect
biketowk                                        0.3395  good
ribus                                           7.3126  poor
