accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
3,3,3,3,3,llama3.1:8b,data_hanoi,age,Agent_0,18_25: Between 18 and 25
4,4,4,3,4,llama3.1:8b,data_hanoi,occup,Agent_0,retired
3,4,4,3,4,llama3.1:8b,data_hanoi,gender,Agent_0,male
1,1,1,1,3,llama3.1:8b,data_hanoi,origlat,Agent_0,insert here the latitude value in double precision
1,1,1,1,3,llama3.1:8b,data_hanoi,origlon,Agent_0,insert here the longitude value in double precision
1,1,1,1,3,llama3.1:8b,data_hanoi,destlat,Agent_0,insert here the latitude value in double precision
1,1,1,1,3,llama3.1:8b,data_hanoi,destlon,Agent_0,insert here the longitude value in double precision
4,4,4,3,4,llama3.1:8b,data_hanoi,purp,Agent_0,leisure
4,4,4,3,4,llama3.1:8b,data_hanoi,vehic,Agent_0,walk
4,4,4,3,4,llama3.1:8b,data_hanoi,freqpweek,Agent_0,11_13
1,1,1,1,3,llama3.1:8b,data_hanoi,od_dist,Agent_0,Insert here the distance value in double precision
1,1,1,1,3,llama3.1:8b,data_hanoi,travtime,Agent_0,Insert here the time in minutes
4,4,4,3,4,llama3.1:8b,data_hanoi,reason,Agent_0,convinient timesaving
3,4,4,3,4,llama3.1:8b,data_hanoi,own_car,Agent_0,0
3,4,4,3,4,llama3.1:8b,data_hanoi,own_motob,Agent_0,4
3,4,5,3,4,llama3.1:8b,data_hanoi,own_ebike,Agent_0,0
3,4,4,3,4,llama3.1:8b,data_hanoi,own_bike,Agent_0,4
3,3,3,3,3,llama3.1:8b,data_hanoi,freq_car,Agent_0,11_15: Between 11 and 15 times
3,3,3,3,3,llama3.1:8b,data_hanoi,freq_motob,Agent_0,1_5: Between 1 and 5 times
3,3,3,3,3,llama3.1:8b,data_hanoi,freq_ebike,Agent_0,1_5: Between 1 and 5 times
3,3,4,3,3,llama3.1:8b,data_hanoi,freq_bike,Agent_0,6_10: Between 6 and 10 times
3,3,4,3,3,llama3.1:8b,data_hanoi,freq_taxi,Agent_0,1_5: Between 1 and 5 times
3,3,4,3,3,llama3.1:8b,data_hanoi,freq_bus,Agent_0,1_5: Between 1 and 5 times
3,3,4,3,4,llama3.1:8b,data_hanoi,school_acc,Agent_0,good
3,3,4,3,4,llama3.1:8b,data_hanoi,market_acc,Agent_0,good
3,3,4,3,4,llama3.1:8b,data_hanoi,hosp_acc,Agent_0,good
3,3,4,3,4,llama3.1:8b,data_hanoi,bank_acc,Agent_0,good
3,3,4,3,4,llama3.1:8b,data_hanoi,leis_acc,Agent_0,good
3,4,4,3,4,llama3.1:8b,data_hanoi,type,Agent_0,private_house
4,4,4,3,4,llama3.1:8b,data_hanoi,status,Agent_0,permanent
3,3,4,3,4,llama3.1:8b,data_hanoi,own,Agent_0,owner
3,3,3,3,3,llama3.1:8b,data_hanoi,reas_not_car,Agent_0,"['jam', 'parking', 'slow']"
3,3,3,3,3,llama3.1:8b,data_hanoi,reas_not_motob,Agent_0,"['slow', 'jam']"
3,3,3,3,3,llama3.1:8b,data_hanoi,reas_not_ebike,Agent_0,"['slow', 'jam']"
3,3,3,3,3,llama3.1:8b,data_hanoi,reas_not_bike,Agent_0,"['slow', 'jam']"
1,1,1,1,3,llama3.1:8b,data_hanoi,dist_to_pub,Agent_0,Insert here the distance value in meters
3,4,4,3,4,llama3.1:8b,data_hanoi,aware_ban,Agent_0,no
2,4,4,3,3,llama3.1:8b,data_hanoi,fut_veh,Agent_0,bike
3,3,3,3,3,llama3.1:8b,data_hanoi,alt_veh,Agent_0,"['bike', 'walk']"
3,3,5,3,4,llama3.1:8b,data_hanoi,alt_car,Agent_0,0: No
3,4,5,3,4,llama3.1:8b,data_hanoi,alt_ebike,Agent_0,0: No
3,4,4,3,4,llama3.1:8b,data_hanoi,alt_bike,Agent_0,0: No
3,3,5,3,4,llama3.1:8b,data_hanoi,alt_bus,Agent_0,0: No
3,4,4,3,4,llama3.1:8b,data_hanoi,alt_ltrain,Agent_0,0: No
3,3,5,3,4,llama3.1:8b,data_hanoi,alt_taxi,Agent_0,0: No
3,4,3,3,4,llama3.1:8b,data_hanoi,alt_walk,Agent_0,0: No
2,4,3,3,4,llama3.1:8b,data_hanoi,opinion_car,Agent_0,neutral
