accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
4,4,4,3,4,mistral:7b,data_pmus_yaounde,centre ville,Agent_0,YAOUNDE
5,4,5,3,5,mistral:7b,data_pmus_yaounde,q1_1,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q1_1_a,Agent_0,MOKOLO
4,4,3,3,3,mistral:7b,data_pmus_yaounde,q1_1_b,Agent_0,EPAB
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q1_1_c,Agent_0,AFANOYA
5,4,5,3,5,mistral:7b,data_pmus_yaounde,q1_2,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q1_2_a,Agent_0,CARREFOUR LUMIERE
4,4,3,3,3,mistral:7b,data_pmus_yaounde,q1_2_b,Agent_0,10 IEME ARRET
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q1_3_c,Agent_0,AFANOYA
3,3,4,3,3,mistral:7b,data_pmus_yaounde,q2_1,Agent_0,A PIED
4,4,3,3,3,mistral:7b,data_pmus_yaounde,q2_2_1,Agent_0,2 CHEVEAU
4,4,3,3,3,mistral:7b,data_pmus_yaounde,q2_2_2,Agent_0,10 E ARRET
4,4,3,3,3,mistral:7b,data_pmus_yaounde,q2_3_1,Agent_0,0LESOA
4,4,3,3,3,mistral:7b,data_pmus_yaounde,q2_3_2,Agent_0,CARREFIUR
4,4,5,3,5,mistral:7b,data_pmus_yaounde,q2_3,Agent_0,NON
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q2_4,Agent_0,A PIED
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q2_5_1,Agent_0,A B0NAS
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q2_5_2,Agent_0,0MPHINE
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q2_6_1,Agent_0,CARREFOUR
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q2_6_2,Agent_0,CARREFOUR
4,3,5,3,5,mistral:7b,data_pmus_yaounde,q3_1,Agent_0,NON
4,3,4,3,3,mistral:7b,data_pmus_yaounde,q3_2,Agent_0,A PIED
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q3_3_1,Agent_0,ACACIA
4,4,3,3,3,mistral:7b,data_pmus_yaounde,q3_3_2,Agent_0,CARREFOUR
1,1,1,1,3,mistral:7b,data_pmus_yaounde,q4_1_a,Agent_0,nan
1,1,1,1,3,mistral:7b,data_pmus_yaounde,q4_1_b,Agent_0,nan
1,1,1,1,3,mistral:7b,data_pmus_yaounde,q4_2_a,Agent_0,nan
4,3,5,3,4,mistral:7b,data_pmus_yaounde,q4_2_b,Agent_0,MOINS DE 15 MIN
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q4_3,Agent_0,1200.0
4,3,4,3,4,mistral:7b,data_pmus_yaounde,q4_4,Agent_0,COURSES
3,3,4,3,4,mistral:7b,data_pmus_yaounde,q4_4_autres,Agent_0,FAIRE DES ACHATS
5,3,5,3,5,mistral:7b,data_pmus_yaounde,q5_1,Agent_0,ENTRE 36 ET 45 ANS
5,3,4,3,5,mistral:7b,data_pmus_yaounde,q5_2,Agent_0,ENTRE 30 001 ET 100 000
5,4,5,3,5,mistral:7b,data_pmus_yaounde,q5_3,Agent_0,HOMME
4,4,4,3,4,mistral:7b,data_pmus_yaounde,centre ville,Agent_1,YAOUNDE
5,4,5,3,5,mistral:7b,data_pmus_yaounde,q1_1,Agent_1,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,3,4,mistral:7b,data_pmus_yaounde,q1_1_a,Agent_1,ODZA
4,4,3,3,3,mistral:7b,data_pmus_yaounde,q1_1_b,Agent_1,10EME ARRET
