age,occup,gender,origlat,origlon,destlat,destlon,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,freq_car,freq_motob,freq_ebike,freq_bike,freq_taxi,freq_bus,school_acc,market_acc,hosp_acc,bank_acc,leis_acc,type,status,own,reas_not_car,reas_not_motob,reas_not_ebike,reas_not_bike,dist_to_pub,aware_ban,fut_veh,alt_veh,alt_car,alt_ebike,alt_bike,alt_bus,alt_ltrain,alt_taxi,alt_walk,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban
more_75,retired,female,21.044412,105.866207,21.044377,105.868912,leisure,walk,11_13,0.280748259,7,timesaving,0,more_5,0,4,,,,6_10,,,good,good,neutral,neutral,neutral,private_house,permanent,owner,jam,jam,unsafe,slow,200,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
26_35,private,male,21.069881,105.90403,21.069162,105.905878,work,car,8_10,0.207750273,29,cost convinient timesaving,3,4,more_5,2,,,,,,,,,,,,high_rise,permanent,owner,parking,unsafe,unsafe,slow,4850,yes,car,car ebike taxi,1,1,0,0,0,1,0,verygood,verygood,verygood,good,verygood,neutral,strongdisagree
more_75,retired,female,21.04635,105.881709,21.047415,105.882841,shopping,walk,11_13,0.166806609,5,cost convinient other,0,more_5,0,4,,,,6_10,,,good,good,neutral,neutral,neutral,private_house,permanent,owner,jam,jam,unsafe,slow,200,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
more_75,retired,female,21.053806,105.874787,21.051679,105.875845,shopping,walk,11_13,0.260753001,5,cost convinient other,0,more_5,0,4,,,,6_10,,,good,good,neutral,neutral,neutral,private_house,permanent,owner,jam,jam,unsafe,slow,200,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
more_75,retired,female,21.04509,105.878597,21.044252,105.872334,shopping,walk,8_10,0.65661002,8,convinient,0,more_5,0,4,,,,6_10,,,good,good,neutral,neutral,neutral,private_house,permanent,owner,jam,jam,unsafe,slow,200,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
18_25,student,female,21.018055,105.814648,18.441414,105.894919,leisure,moto,17_20,286.6329902,30,convinient,4,more_5,4,4,6_10,16_20,11_15,11_15,16_20,16_20,very_good,very_good,good,very_good,very_good,high_rise,long_stay,rent,unsafe,jam,jam,unsafe,1000,no,no,bike,0,0,1,0,0,0,0,good,verygood,good,verygood,good,verygood,neutral
36_55,fdi,male,21.040207,105.866269,21.03638,105.850177,visit,ebike,14_16,1.723437477,20,convinient,4,4,4,4,,16_20,,,,,very_good,very_good,very_good,very_good,very_good,private_house,permanent,parent_house,unsafe,unsafe,unsafe,unsafe,1000,yes,moto,bike,0,0,1,0,0,0,0,neutral,good,good,good,good,verybad,strongdisagree
18_25,student,female,21.03528,105.773964,21.036462,105.774951,education,moto,more_20,0.166635958,5,convinient,3,more_5,3,3,,16_20,16_20,,,,good,good,good,good,good,private_house,long_stay,rent,jam,jam,jam,slow,200,yes,moto,bus lighttrain taxi,0,0,0,1,1,1,0,neutral,good,neutral,neutral,good,good,disagree
56_75,retired,female,21.035476,105.852297,21.034435,105.850623,caring,car,4_7,0.208766329,30,timesaving,3,3,3,3,,,,,,,,,,,,private_house,permanent,owner,jam,jam,slow,slow,30,donotcare,no,car,1,0,0,0,0,0,0,neutral,bad,neutral,bad,neutral,bad,agree
more_75,retired,female,21.051134,105.866365,21.050463,105.869005,shopping,walk,8_10,0.283942157,8,cost convinient,0,more_5,0,4,,,,6_10,,,good,good,neutral,neutral,neutral,private_house,permanent,owner,jam,jam,unsafe,slow,200,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
more_75,retired,female,21.044202,105.871542,21.045311,105.871171,shopping,walk,11_13,0.129186174,5,cost convinient,0,more_5,0,4,,,,6_10,,,good,good,neutral,neutral,neutral,private_house,permanent,owner,jam,jam,unsafe,slow,200,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
36_55,fdi,female,20.990852,105.807302,20.988085,105.811418,education,bike,4_7,0.526554042,13,timesaving,3,3,3,3,,11_15,,,,,neutral,neutral,neutral,neutral,neutral,high_rise,permanent,parent_house,jam,jam,jam,jam,45,no,ebike,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
56_75,retired,female,21.030274,105.846281,21.034766,105.850006,caring,bike,11_13,0.631627355,14,timesaving,0,more_5,0,3,,6_10,,11_15,,,neutral,neutral,good,bad,neutral,private_house,permanent,owner,cost,jam,jam,slow,600,yes,no,car ebike bike walk,1,1,1,0,0,0,1,verygood,good,good,verygood,neutral,neutral,disagree
18_25,student,female,20.999594,105.863378,21.001796,105.859073,education,walk,8_10,0.509578492,5,cost convinient,0,more_5,1,3,,more_20,,11_15,1_5,,good,very_good,good,neutral,good,old_building,permanent,parent_house,cost,jam,jam,slow,650,no,no,car ebike taxi,1,1,0,0,0,1,0,verygood,verygood,good,good,good,bad,disagree
18_25,student,female,21.041009,105.777963,21.03542,105.796129,education,walk,more_20,1.985109838,15,cost,0,more_5,more_5,0,,,,,,1_5,very_good,good,neutral,good,good,private_house,long_stay,rent,cost,unsafe,slow,slow,400,yes,moto,ebike bus,0,1,0,1,0,0,0,verygood,verygood,good,good,good,good,disagree
56_75,retired,female,21.013689,105.865299,21.0099,105.782643,visit,car,4_7,8.590143868,35,timesaving,4,3,3,more_5,,,,,,,,,,,,private_new,permanent,owner,jam,jam,slow,slow,100,no,no,car bus lighttrain taxi,1,0,0,1,1,1,0,good,neutral,good,neutral,good,neutral,neutral
56_75,retired,female,20.999814,105.814603,21.000175,105.815289,caring,walk,more_20,0.08174765,1,other,0,4,0,0,,,,,,,good,very_good,very_good,good,good,private_house,permanent,owner,cost,unsafe,unsafe,slow,200,yes,bike,bus taxi walk,0,0,0,1,0,1,1,verygood,good,good,good,verygood,good,disagree
56_75,retired,female,21.037836,105.854292,21.033692,105.858416,shopping,walk,11_13,0.628904269,7,cost convinient,0,more_5,0,3,,6_10,,11_15,,,neutral,neutral,good,bad,neutral,private_house,permanent,owner,cost,jam,jam,slow,600,yes,no,car ebike bike walk,1,1,1,0,0,0,1,verygood,good,good,verygood,neutral,neutral,disagree
56_75,retired,female,21.038703,105.847617,21.03846,105.848791,caring,walk,8_10,0.124801077,5,cost convinient,0,more_5,0,3,,6_10,,11_15,,,neutral,neutral,good,bad,neutral,private_house,permanent,owner,cost,jam,jam,slow,600,yes,no,car ebike bike walk,1,1,1,0,0,0,1,verygood,good,good,verygood,neutral,neutral,disagree
18_25,student,female,21.064996,105.405848,21.065476,105.401856,work,moto,17_20,0.417650892,5,cost,3,1,4,4,,1_5,,,,,good,good,neutral,neutral,neutral,social_house,permanent,parent_house,cost,unsafe,slow,slow,1000,yes,car,walk,0,0,0,0,0,0,1,verygood,good,neutral,bad,neutral,neutral,strongdisagree
26_35,state,male,21.020536,105.825761,21.026746,105.827691,visit,car,more_20,0.718991266,360,convinient,3,2,3,3,6_10,11_15,16_20,6_10,11_15,16_20,good,good,good,good,neutral,private_house,permanent,parent_house,parking,jam,parking,unsafe,500,yes,moto,car,1,0,0,0,0,0,0,bad,verybad,neutral,bad,neutral,neutral,strongagree
56_75,retired,female,21.033598,105.857774,21.036137,105.850355,caring,moto,14_16,0.820110413,12,timesaving,0,more_5,0,3,,6_10,,11_15,,,neutral,neutral,good,bad,neutral,private_house,permanent,owner,cost,jam,jam,slow,600,yes,no,car ebike bike walk,1,1,1,0,0,0,1,verygood,good,good,verygood,neutral,neutral,disagree
more_75,retired,female,20.992243,105.848414,20.991066,105.852501,leisure,walk,1_3,0.444019828,4,convinient timesaving,1,4,0,2,,,,11_15,,,neutral,neutral,good,neutral,good,private_house,permanent,owner,cost,jam,jam,slow,300,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
18_25,student,female,21.037072,105.776444,21.036201,105.790572,education,bus,more_20,1.469456483,10,cost,0,more_5,3,1,1_5,1_5,1_5,1_5,1_5,more_20,very_good,very_good,very_good,very_good,very_good,social_house,long_stay,rent,cost,unsafe,slow,slow,300,yes,moto,ebike,0,1,0,0,0,0,0,neutral,bad,bad,good,neutral,neutral,disagree
56_75,retired,male,20.998744,105.857005,21.127702,105.544796,caring,taxi,1_3,35.42817589,61,other,0,2,2,2,,,,more_20,1_5,1_5,,,,,,old_building,permanent,owner,unsafe,unsafe,slow,slow,450,donotcare,car,ebike bike bus lighttrain taxi walk,0,1,1,1,1,1,1,bad,bad,neutral,neutral,neutral,neutral,strongdisagree
56_75,retired,female,21.030603,105.830706,21.031083,105.831693,shopping,car,8_10,0.115509593,45,timesaving,3,3,3,3,,,,,,,,,,,,private_house,permanent,owner,jam,jam,slow,slow,150,yes,no,bus,0,0,0,1,0,0,0,neutral,bad,neutral,bad,neutral,bad,neutral
