Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
llama3.3:70b,data_hanoi,accuracy,3.26,1.21,3.0,1,5,10600,"1: 1429, 3: 6061, 4: 627, 5: 2483"
llama3.3:70b,data_hanoi,relevance,4.73,0.68,5.0,3,5,10600,"3: 1429, 5: 9171"
llama3.3:70b,data_hanoi,coherence,4.02,0.91,4.0,2,5,10600,"2: 1429, 4: 6061, 5: 3110"
llama3.3:70b,data_hanoi,completeness,2.96,0.88,3.0,1,4,10600,"1: 1429, 3: 6688, 4: 2483"
llama3.3:70b,data_hanoi,fluency,4.1,0.6,4.0,3,5,10600,"3: 1429, 4: 6688, 5: 2483"
llama3.3:70b,data_lyon_EDGT,accuracy,2.78,1.98,1.0,1,5,45800,"1: 25251, 3: 380, 5: 20169"
llama3.3:70b,data_lyon_EDGT,relevance,4.45,0.5,4.0,4,5,45800,"4: 25251, 5: 20549"
llama3.3:70b,data_lyon_EDGT,coherence,2.78,1.98,1.0,1,5,45800,"1: 25251, 3: 380, 5: 20169"
llama3.3:70b,data_lyon_EDGT,completeness,2.79,1.98,1.0,1,5,45800,"1: 25251, 4: 380, 5: 20169"
llama3.3:70b,data_lyon_EDGT,fluency,2.89,0.99,2.0,2,4,45800,"2: 25251, 3: 380, 4: 20169"
llama3.3:70b,data_MyDailyTravelData,accuracy,2.42,0.75,3.0,1,3,36200,"1: 5852, 2: 9436, 3: 20912"
llama3.3:70b,data_MyDailyTravelData,relevance,4.65,0.82,5.0,1,5,36200,"1: 423, 3: 5429, 4: 236, 5: 30112"
llama3.3:70b,data_MyDailyTravelData,coherence,4.65,0.82,5.0,1,5,36200,"1: 423, 3: 5429, 4: 236, 5: 30112"
llama3.3:70b,data_MyDailyTravelData,completeness,2.82,0.41,3.0,1,3,36200,"1: 423, 2: 5651, 3: 30126"
llama3.3:70b,data_MyDailyTravelData,fluency,3.82,0.41,4.0,2,4,36200,"2: 423, 3: 5665, 4: 30112"
llama3.3:70b,data_NYC_mobility,accuracy,3.02,0.39,3.0,1,4,35200,"1: 776, 3: 32292, 4: 2132"
llama3.3:70b,data_NYC_mobility,relevance,4.96,0.29,5.0,3,5,35200,"3: 776, 5: 34424"
llama3.3:70b,data_NYC_mobility,coherence,4.02,0.39,4.0,2,5,35200,"2: 776, 4: 32292, 5: 2132"
llama3.3:70b,data_NYC_mobility,completeness,3.01,0.38,3.0,1,4,35200,"1: 776, 3: 32424, 4: 2000"
llama3.3:70b,data_NYC_mobility,fluency,4.03,0.27,4.0,3,5,35200,"3: 776, 4: 32624, 5: 1800"
llama3.3:70b,data_pmus_yaounde,accuracy,4.12,0.32,4.0,4,5,6800,"4: 6000, 5: 800"
llama3.3:70b,data_pmus_yaounde,relevance,3.18,0.51,3.0,3,5,6800,"3: 6000, 4: 400, 5: 400"
llama3.3:70b,data_pmus_yaounde,coherence,4.12,0.32,4.0,4,5,6800,"4: 6000, 5: 800"
llama3.3:70b,data_pmus_yaounde,completeness,4.06,0.24,4.0,4,5,6800,"4: 6400, 5: 400"
llama3.3:70b,data_pmus_yaounde,fluency,3.06,0.24,3.0,3,4,6800,"3: 6400, 4: 400"
llama3.3:70b,data_VTC_survey,accuracy,3.83,0.84,4.0,2,5,27200,"2: 4137, 4: 19445, 5: 3618"
llama3.3:70b,data_VTC_survey,relevance,3.83,0.84,4.0,2,5,27200,"2: 4137, 4: 19445, 5: 3618"
llama3.3:70b,data_VTC_survey,coherence,3.83,0.84,4.0,2,5,27200,"2: 4137, 4: 19445, 5: 3618"
llama3.3:70b,data_VTC_survey,completeness,2.73,0.76,3.0,1,4,27200,"1: 4137, 3: 22095, 4: 968"
llama3.3:70b,data_VTC_survey,fluency,2.88,0.42,3.0,2,4,27200,"2: 4137, 3: 22095, 4: 968"
