accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
2,3,3,2,2,gemma2:27b,data_MyDailyTravelData,source,Agent_0,10: Saber es Poder
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,cravl,Agent_0,1: Yes
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,fare,Agent_0,0.0
2,3,4,2,4,gemma2:27b,data_MyDailyTravelData,payf,Agent_0,1: Cash
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,payf_o,Agent_0,I don't use public transit very often. My family usually helps me get around when I need to go somewhere.
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,paypk,Agent_0,1: Yes
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,pkamt,Agent_0,0.0
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,pkbas,Agent_0,1: Hour
2,3,2,2,2,gemma2:27b,data_MyDailyTravelData,pkbas_o,Agent_0,"I enjoy tending to my garden, reading, and staying active in the community. Occasionally I volunteer at the local library, helping children with their homework."
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,prkty,Agent_0,1: On-site parking lot or deck
2,3,3,2,2,gemma2:27b,data_MyDailyTravelData,prkty_o,Agent_0,I have a driveway at my home where I park my car.
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,tpurp,Agent_0,1: 01. Typical home activities
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,tpurp_o,Agent_0,Typical home activities
2,4,4,2,4,gemma2:27b,data_MyDailyTravelData,tpurp2,Agent_0,0: 00. Nothing else
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,tpurp2_o,Agent_0,"I enjoy tending to my garden, reading, and staying active in the community."
2,2,4,2,3,gemma2:27b,data_MyDailyTravelData,tpurp_check,Agent_0,1: Yes
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,trip_appt,Agent_0,1: Not at all
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,trip_appt_why,Agent_0,['1: I had work or a job interview']
2,3,4,2,4,gemma2:27b,data_MyDailyTravelData,trip_appt_why_1,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']"
2,3,4,2,4,gemma2:27b,data_MyDailyTravelData,trip_appt_why_2,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']"
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,trip_appt_why_3,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']"
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,trip_appt_why_4,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']"
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,trip_appt_why_5,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']"
2,4,3,2,4,gemma2:27b,data_MyDailyTravelData,trip_appt_why_6,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']"
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,trip_appt_why_se,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']"
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,trip_appt_why_rf,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']"
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,trip_appt_why_dk,Agent_0,"['2: I had an appointment or was meeting someone', '6: I believe it is important to be on time.']"
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,trip_appt_why_o,Agent_0,6
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,trip_appt_why2,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time']
2,4,3,2,4,gemma2:27b,data_MyDailyTravelData,trip_appt_why2_1,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time']
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,trip_appt_why2_2,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time']
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,trip_appt_why2_3,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time']
2,4,4,2,4,gemma2:27b,data_MyDailyTravelData,trip_appt_why2_4,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time']
2,4,4,2,3,gemma2:27b,data_MyDailyTravelData,trip_appt_why2_5,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time']
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,trip_appt_why2_se,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time']
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,trip_appt_why2_rf,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time']
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,trip_appt_why2_dk,Agent_0,['5: I did not make any changes to my travel behavior to ensure I would arrive on time']
2,3,3,2,3,gemma2:27b,data_MyDailyTravelData,trip_appt_why2_o,Agent_0,5
2,4,4,2,4,gemma2:27b,data_MyDailyTravelData,placegroup,Agent_0,5
1,4,4,2,2,gemma2:27b,data_MyDailyTravelData,time_distance_flag,Agent_0,101: Walking trips with effective speeds faster than 20 mph
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,retmode_final,Agent_0,1: PHONE APP
2,4,4,2,4,gemma2:27b,data_MyDailyTravelData,retmode,Agent_0,5: Web Only
2,3,4,2,4,gemma2:27b,data_MyDailyTravelData,age,Agent_0,70.0
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,aage,Agent_0,-8: I don’t know
2,4,4,2,4,gemma2:27b,data_MyDailyTravelData,age18,Agent_0,1: Yes
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,sex,Agent_0,1: Male
2,4,4,2,4,gemma2:27b,data_MyDailyTravelData,relate,Agent_0,97: Other Related
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,relate_o,Agent_0,"I'm related to the primary household respondent, but not in a way that's easily categorized. We're close friends who have chosen to live together for support and companionship."
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,lic,Agent_0,1: Yes
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,hisp,Agent_0,1: Yes
2,3,2,2,2,gemma2:27b,data_MyDailyTravelData,hisp_o,Agent_0,"I'm a 70-year-old woman who enjoys tending to my garden, reading, and staying active in my community. I volunteer at the local library helping children with their homework. "
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,race,Agent_0,1: White
2,3,3,2,2,gemma2:27b,data_MyDailyTravelData,race_o,Agent_0,"I enjoy tending to my garden, reading, and staying active in my community. I volunteer at the local library helping children with their homework. "
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,smrtphn,Agent_0,1: Yes
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,emply_ask,Agent_0,-8: I don’t know
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,jobs,Agent_0,-8: I don’t know
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,wkstat,Agent_0,-8: I don’t know
2,3,2,2,2,gemma2:27b,data_MyDailyTravelData,wkstat_o,Agent_0,"I enjoy tending to my garden, reading, and staying active in my community. I volunteer at the local library helping children with their homework."
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,volun_freq,Agent_0,1: 1 day a week
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,wplace,Agent_0,-8: I don’t know
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,wmode,Agent_0,-8: I don’t know
2,3,3,2,2,gemma2:27b,data_MyDailyTravelData,wmode_o,Agent_0,"I enjoy tending to my garden, reading, and staying active in my community. I volunteer at the local library helping children with their homework."
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,wparkride,Agent_0,1: Yes
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,pervh,Agent_0,1: Yes
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,wrkhrs,Agent_0,-8: I don’t know
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,wtrav,Agent_0,0: Never
2,4,4,2,4,gemma2:27b,data_MyDailyTravelData,occup,Agent_0,25: Educational Instruction and Library Occupations
2,3,3,2,3,gemma2:27b,data_MyDailyTravelData,occup_o,Agent_0,I volunteer at the library helping children with their homework
2,4,4,2,4,gemma2:27b,data_MyDailyTravelData,indus,Agent_0,61: Educational Services
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,indus_o,Agent_0,I help children with their homework
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,emply_transit,Agent_0,1: Employer pays 25% or less of my monthly fares
2,3,3,2,2,gemma2:27b,data_MyDailyTravelData,emply_transit_o,Agent_0,I don't use public transit much. I prefer to stay close to home and rely on family and friends for longer trips.
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,emply_park,Agent_0,1: Free onsite parking
2,3,3,2,2,gemma2:27b,data_MyDailyTravelData,emply_park_o,Agent_0,I don't use public transit much. I prefer to stay close to home and rely on family and friends for longer trips.
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,stude,Agent_0,-8: I don’t know
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,schol,Agent_0,-8: I don’t know
2,3,2,2,2,gemma2:27b,data_MyDailyTravelData,schol_o,Agent_0,I don't use public transit much. I prefer to stay close to home and rely on family and friends for longer trips.
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,sloc,Agent_0,-8: I don’t know
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,sweb,Agent_0,-8: I don’t know
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,smode,Agent_0,-8: I don’t know
2,3,3,2,2,gemma2:27b,data_MyDailyTravelData,smode_o,Agent_0,I don't use public transit much. I prefer to stay close to home and rely on family and friends for longer trips.
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,sparkride,Agent_0,1: Yes
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,educ,Agent_0,1: Not a high school graduate
2,3,3,2,2,gemma2:27b,data_MyDailyTravelData,educ_o,Agent_0,I don't have a college degree
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,hptol,Agent_0,1: Cash
2,3,3,2,2,gemma2:27b,data_MyDailyTravelData,hptol_o,Agent_0,I enjoy spending time in my garden and reading.
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,pay_allday,Agent_0,1: Yes
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,tolls,Agent_0,0.0
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,tolltrip,Agent_0,1: Yes
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,typday,Agent_0,1: Yes
2,3,3,2,2,gemma2:27b,data_MyDailyTravelData,typday_no,Agent_0,Nothing unusual happened today. I spent the morning tending to my garden and then enjoyed a quiet afternoon reading.
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,typpl,Agent_0,1: Planned
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,carptowk,Agent_0,1: Zero Times (never)
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,walktowk,Agent_0,1: Zero Times (never)
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,biketowk,Agent_0,1: Zero Times (never)
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,ribus,Agent_0,1: Zero Times (never)
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,tcoff,Agent_0,1: Yes
2,3,4,2,4,gemma2:27b,data_MyDailyTravelData,tcdays,Agent_0,5.0
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,compr,Agent_0,1: 4/40
2,3,2,2,2,gemma2:27b,data_MyDailyTravelData,compr_o,Agent_0,I don't use public transit often. I prefer to stay close to home and rely on the support of friends and family for longer trips.
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,wkflex,Agent_0,1: Yes
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,tnc_use,Agent_0,0.0
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,tnc_typ,Agent_0,1: Low
2,3,4,2,3,gemma2:27b,data_MyDailyTravelData,tnc_cost,Agent_0,0.0
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,tnc_purp,Agent_0,1: For [$YOUR] whole commute
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,disab,Agent_0,1: Yes
2,3,3,2,2,gemma2:27b,data_MyDailyTravelData,dtype_o,Agent_0,"I'm retired and spend most of my time at home tending to my garden, reading, and volunteering at the library. "
2,3,5,2,4,gemma2:27b,data_MyDailyTravelData,dtype2,Agent_0,1: Yes
