accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
1,1,1,1,3,gemma3:27b,data_hanoi,age,Agent_0,nan
2,4,4,3,4,gemma3:27b,data_hanoi,occup,Agent_0,fdi
3,4,3,3,4,gemma3:27b,data_hanoi,gender,Agent_0,female
1,1,1,1,3,gemma3:27b,data_hanoi,origlat,Agent_0,insert here the latitude value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,origlon,Agent_0,insert here the longitude value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,destlat,Agent_0,insert here the latitude value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,destlon,Agent_0,insert here the longitude value in double precision
3,4,4,3,4,gemma3:27b,data_hanoi,purp,Agent_0,shopping
2,4,4,3,4,gemma3:27b,data_hanoi,vehic,Agent_0,bike
3,4,4,3,4,gemma3:27b,data_hanoi,freqpweek,Agent_0,11_13
1,1,1,1,3,gemma3:27b,data_hanoi,od_dist,Agent_0,Insert here the distance value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,travtime,Agent_0,Insert here the time in minutes
2,3,3,3,3,gemma3:27b,data_hanoi,reason,Agent_0,"['convinient', 'timesaving']"
2,4,5,3,4,gemma3:27b,data_hanoi,own_car,Agent_0,0
2,4,5,3,4,gemma3:27b,data_hanoi,own_motob,Agent_0,more_5
2,4,5,3,4,gemma3:27b,data_hanoi,own_ebike,Agent_0,0
2,4,5,3,4,gemma3:27b,data_hanoi,own_bike,Agent_0,4
2,3,4,3,3,gemma3:27b,data_hanoi,freq_car,Agent_0,11_15: Between 11 and 15 times
3,3,3,3,3,gemma3:27b,data_hanoi,freq_motob,Agent_0,1_5: Between 1 and 5 times
1,1,1,1,3,gemma3:27b,data_hanoi,freq_ebike,Agent_0,nan
2,3,4,3,3,gemma3:27b,data_hanoi,freq_bike,Agent_0,11_15: Between 11 and 15 times
2,3,4,3,3,gemma3:27b,data_hanoi,freq_taxi,Agent_0,11_15: Between 11 and 15 times
2,3,4,3,3,gemma3:27b,data_hanoi,freq_bus,Agent_0,11_15: Between 11 and 15 times
2,4,5,3,4,gemma3:27b,data_hanoi,school_acc,Agent_0,good
2,4,4,3,4,gemma3:27b,data_hanoi,market_acc,Agent_0,bad
2,4,5,3,4,gemma3:27b,data_hanoi,hosp_acc,Agent_0,good
2,4,5,3,4,gemma3:27b,data_hanoi,bank_acc,Agent_0,bad
2,4,4,3,4,gemma3:27b,data_hanoi,leis_acc,Agent_0,bad
2,4,4,3,4,gemma3:27b,data_hanoi,type,Agent_0,high_rise
2,3,4,3,4,gemma3:27b,data_hanoi,status,Agent_0,long_stay
2,4,5,3,3,gemma3:27b,data_hanoi,own,Agent_0,morgate
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_car,Agent_0,"['jam', 'unsafe']"
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_motob,Agent_0,"['jam', 'unsafe']"
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_ebike,Agent_0,"['jam', 'unsafe']"
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_bike,Agent_0,"['jam', 'unsafe']"
1,1,1,1,3,gemma3:27b,data_hanoi,dist_to_pub,Agent_0,Insert here the distance value in meters
2,3,4,3,4,gemma3:27b,data_hanoi,aware_ban,Agent_0,no
2,4,5,3,4,gemma3:27b,data_hanoi,fut_veh,Agent_0,bike
2,3,4,3,4,gemma3:27b,data_hanoi,alt_veh,Agent_0,bike
3,3,5,3,4,gemma3:27b,data_hanoi,alt_car,Agent_0,0: No
3,3,5,3,4,gemma3:27b,data_hanoi,alt_ebike,Agent_0,0: No
3,3,4,3,4,gemma3:27b,data_hanoi,alt_bike,Agent_0,0: No
3,4,3,3,4,gemma3:27b,data_hanoi,alt_bus,Agent_0,0: No
3,3,5,3,4,gemma3:27b,data_hanoi,alt_ltrain,Agent_0,0: No
3,3,5,3,4,gemma3:27b,data_hanoi,alt_taxi,Agent_0,0: No
3,3,4,3,4,gemma3:27b,data_hanoi,alt_walk,Agent_0,0: No
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_car,Agent_0,bad
2,4,5,3,4,gemma3:27b,data_hanoi,opinion_motob,Agent_0,bad
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_ebike,Agent_0,bad
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_bike,Agent_0,bad
2,4,5,3,4,gemma3:27b,data_hanoi,opinion_taxi,Agent_0,bad
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_bus,Agent_0,bad
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_ban,Agent_0,disagree
1,1,1,1,3,gemma3:27b,data_hanoi,age,Agent_1,nan
2,4,4,3,4,gemma3:27b,data_hanoi,occup,Agent_1,fdi
3,4,3,3,4,gemma3:27b,data_hanoi,gender,Agent_1,female
1,1,1,1,3,gemma3:27b,data_hanoi,origlat,Agent_1,insert here the latitude value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,origlon,Agent_1,insert here the longitude value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,destlat,Agent_1,insert here the latitude value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,destlon,Agent_1,insert here the longitude value in double precision
3,4,4,3,4,gemma3:27b,data_hanoi,purp,Agent_1,caring
2,4,4,3,4,gemma3:27b,data_hanoi,vehic,Agent_1,bike
3,4,4,3,4,gemma3:27b,data_hanoi,freqpweek,Agent_1,8_10
1,1,1,1,3,gemma3:27b,data_hanoi,od_dist,Agent_1,Insert here the distance value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,travtime,Agent_1,Insert here the time in minutes
2,3,3,3,3,gemma3:27b,data_hanoi,reason,Agent_1,"['cost', 'convinient timesaving']"
2,4,5,3,4,gemma3:27b,data_hanoi,own_car,Agent_1,3
2,4,5,3,4,gemma3:27b,data_hanoi,own_motob,Agent_1,4
2,4,5,3,4,gemma3:27b,data_hanoi,own_ebike,Agent_1,0
2,4,5,3,4,gemma3:27b,data_hanoi,own_bike,Agent_1,2
2,3,4,3,3,gemma3:27b,data_hanoi,freq_car,Agent_1,11_15: Between 11 and 15 times
1,1,1,1,3,gemma3:27b,data_hanoi,freq_motob,Agent_1,nan
2,3,3,3,3,gemma3:27b,data_hanoi,freq_ebike,Agent_1,11_15: Between 11 and 15 times
2,3,4,3,3,gemma3:27b,data_hanoi,freq_bike,Agent_1,11_15: Between 11 and 15 times
2,3,4,3,3,gemma3:27b,data_hanoi,freq_taxi,Agent_1,11_15: Between 11 and 15 times
2,3,4,3,3,gemma3:27b,data_hanoi,freq_bus,Agent_1,11_15: Between 11 and 15 times
2,4,5,3,4,gemma3:27b,data_hanoi,school_acc,Agent_1,very_good
2,4,4,3,4,gemma3:27b,data_hanoi,market_acc,Agent_1,very_good
2,4,5,3,4,gemma3:27b,data_hanoi,hosp_acc,Agent_1,very_good
2,4,5,3,4,gemma3:27b,data_hanoi,bank_acc,Agent_1,very_good
2,4,4,3,4,gemma3:27b,data_hanoi,leis_acc,Agent_1,very_good
2,4,4,3,4,gemma3:27b,data_hanoi,type,Agent_1,private_house
2,3,4,3,4,gemma3:27b,data_hanoi,status,Agent_1,long_stay
2,4,5,3,3,gemma3:27b,data_hanoi,own,Agent_1,morgate
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_car,Agent_1,"['jam', 'parking']"
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_motob,Agent_1,"['jam', 'parking']"
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_ebike,Agent_1,"['jam', 'parking']"
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_bike,Agent_1,"['jam', 'parking']"
1,1,1,1,3,gemma3:27b,data_hanoi,dist_to_pub,Agent_1,Insert here the distance value in meters
2,3,4,3,4,gemma3:27b,data_hanoi,aware_ban,Agent_1,yes
2,4,5,3,4,gemma3:27b,data_hanoi,fut_veh,Agent_1,car
2,3,4,3,4,gemma3:27b,data_hanoi,alt_veh,Agent_1,car
3,3,5,3,4,gemma3:27b,data_hanoi,alt_car,Agent_1,0: No
3,3,5,3,4,gemma3:27b,data_hanoi,alt_ebike,Agent_1,0: No
3,3,4,3,4,gemma3:27b,data_hanoi,alt_bike,Agent_1,0: No
3,4,3,3,4,gemma3:27b,data_hanoi,alt_bus,Agent_1,0: No
3,3,5,3,4,gemma3:27b,data_hanoi,alt_ltrain,Agent_1,0: No
3,3,5,3,4,gemma3:27b,data_hanoi,alt_taxi,Agent_1,0: No
3,3,4,3,4,gemma3:27b,data_hanoi,alt_walk,Agent_1,0: No
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_car,Agent_1,bad
2,4,5,3,4,gemma3:27b,data_hanoi,opinion_motob,Agent_1,good
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_ebike,Agent_1,bad
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_bike,Agent_1,bad
2,4,5,3,4,gemma3:27b,data_hanoi,opinion_taxi,Agent_1,bad
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_bus,Agent_1,bad
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_ban,Agent_1,disagree
1,1,1,1,3,gemma3:27b,data_hanoi,age,Agent_2,nan
2,4,4,3,4,gemma3:27b,data_hanoi,occup,Agent_2,fdi
3,4,3,3,4,gemma3:27b,data_hanoi,gender,Agent_2,female
1,1,1,1,3,gemma3:27b,data_hanoi,origlat,Agent_2,insert here the latitude value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,origlon,Agent_2,insert here the longitude value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,destlat,Agent_2,insert here the latitude value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,destlon,Agent_2,insert here the longitude value in double precision
3,4,4,3,4,gemma3:27b,data_hanoi,purp,Agent_2,shopping
2,4,4,3,4,gemma3:27b,data_hanoi,vehic,Agent_2,bike
3,4,4,3,4,gemma3:27b,data_hanoi,freqpweek,Agent_2,11_13
1,1,1,1,3,gemma3:27b,data_hanoi,od_dist,Agent_2,Insert here the distance value in double precision
1,1,1,1,3,gemma3:27b,data_hanoi,travtime,Agent_2,Insert here the time in minutes
2,3,3,3,3,gemma3:27b,data_hanoi,reason,Agent_2,"['cost', 'convinient']"
2,4,5,3,4,gemma3:27b,data_hanoi,own_car,Agent_2,0
2,4,5,3,4,gemma3:27b,data_hanoi,own_motob,Agent_2,more_5
2,4,5,3,4,gemma3:27b,data_hanoi,own_ebike,Agent_2,0
2,4,5,3,4,gemma3:27b,data_hanoi,own_bike,Agent_2,4
2,3,4,3,3,gemma3:27b,data_hanoi,freq_car,Agent_2,11_15: Between 11 and 15 times
2,3,3,3,3,gemma3:27b,data_hanoi,freq_motob,Agent_2,11_15: Between 11 and 15 times
2,3,3,3,3,gemma3:27b,data_hanoi,freq_ebike,Agent_2,11_15: Between 11 and 15 times
2,3,4,3,3,gemma3:27b,data_hanoi,freq_bike,Agent_2,11_15: Between 11 and 15 times
2,3,4,3,3,gemma3:27b,data_hanoi,freq_taxi,Agent_2,11_15: Between 11 and 15 times
2,3,4,3,3,gemma3:27b,data_hanoi,freq_bus,Agent_2,11_15: Between 11 and 15 times
2,4,5,3,4,gemma3:27b,data_hanoi,school_acc,Agent_2,bad
2,4,4,3,4,gemma3:27b,data_hanoi,market_acc,Agent_2,bad
2,4,5,3,4,gemma3:27b,data_hanoi,hosp_acc,Agent_2,good
2,4,5,3,4,gemma3:27b,data_hanoi,bank_acc,Agent_2,good
2,4,4,3,4,gemma3:27b,data_hanoi,leis_acc,Agent_2,good
2,4,4,3,4,gemma3:27b,data_hanoi,type,Agent_2,high_rise
2,3,4,3,4,gemma3:27b,data_hanoi,status,Agent_2,long_stay
2,4,5,3,3,gemma3:27b,data_hanoi,own,Agent_2,morgate
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_car,Agent_2,"['cost', 'jam', 'parking']"
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_motob,Agent_2,"['cost', 'jam']"
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_ebike,Agent_2,"['cost', 'jam']"
2,3,3,3,3,gemma3:27b,data_hanoi,reas_not_bike,Agent_2,"['jam', 'unsafe']"
1,1,1,1,3,gemma3:27b,data_hanoi,dist_to_pub,Agent_2,Insert here the distance value in meters
2,3,4,3,4,gemma3:27b,data_hanoi,aware_ban,Agent_2,no
2,4,5,3,4,gemma3:27b,data_hanoi,fut_veh,Agent_2,no
2,3,4,3,4,gemma3:27b,data_hanoi,alt_veh,Agent_2,walk
3,3,5,3,4,gemma3:27b,data_hanoi,alt_car,Agent_2,0: No
3,3,5,3,4,gemma3:27b,data_hanoi,alt_ebike,Agent_2,0: No
3,3,4,3,4,gemma3:27b,data_hanoi,alt_bike,Agent_2,0: No
3,4,3,3,4,gemma3:27b,data_hanoi,alt_bus,Agent_2,0: No
3,3,5,3,4,gemma3:27b,data_hanoi,alt_ltrain,Agent_2,0: No
3,3,5,3,4,gemma3:27b,data_hanoi,alt_taxi,Agent_2,0: No
3,3,4,3,4,gemma3:27b,data_hanoi,alt_walk,Agent_2,0: No
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_car,Agent_2,neutral
2,4,5,3,4,gemma3:27b,data_hanoi,opinion_motob,Agent_2,bad
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_ebike,Agent_2,bad
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_bike,Agent_2,bad
2,4,5,3,4,gemma3:27b,data_hanoi,opinion_taxi,Agent_2,bad
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_bus,Agent_2,bad
2,4,4,3,4,gemma3:27b,data_hanoi,opinion_ban,Agent_2,agree
