accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,centre ville,Agent_0,YAOUNDE
5,4,4,4,4,gemma3:27b,data_pmus_yaounde,q1_1,Agent_0,HORS DE LA VILLE DE YAOUNDE
4,4,3,4,4,gemma3:27b,data_pmus_yaounde,q1_1_a,Agent_0,MOKOLO
4,4,3,4,3,gemma3:27b,data_pmus_yaounde,q1_1_b,Agent_0,EPAB
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q1_1_c,Agent_0,AFANOYA
5,4,4,4,4,gemma3:27b,data_pmus_yaounde,q1_2,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,4,4,gemma3:27b,data_pmus_yaounde,q1_2_a,Agent_0,CARREFOUR LUMIERE
4,4,3,4,3,gemma3:27b,data_pmus_yaounde,q1_2_b,Agent_0,PETIT MARCHE
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q1_3_c,Agent_0,AFANOYA
4,3,4,4,3,gemma3:27b,data_pmus_yaounde,q2_1,Agent_0,PAR BUS STACY
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_2_1,Agent_0,RON POINT ESSPRESS
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_2_2,Agent_0,FIN GOUDRON
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_3_1,Agent_0,0LESOA
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_3_2,Agent_0,TERMINUS
4,4,4,4,4,gemma3:27b,data_pmus_yaounde,q2_3,Agent_0,NON
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_4,Agent_0,PAR BUS STACY
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_5_1,Agent_0,FIN GOUDRON
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_5_2,Agent_0,FIN GOUDRON
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_6_1,Agent_0,CARREFOUR
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_6_2,Agent_0,MARCHE
4,4,3,4,4,gemma3:27b,data_pmus_yaounde,q3_1,Agent_0,NON
4,3,4,4,3,gemma3:27b,data_pmus_yaounde,q3_2,Agent_0,PAR BUS STACY
4,4,3,4,3,gemma3:27b,data_pmus_yaounde,q3_3_1,Agent_0,MOKOLO
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q3_3_2,Agent_0,BORNE FONTAINE
4,4,2,4,2,gemma3:27b,data_pmus_yaounde,q4_1_a,Agent_0,Veuillez indiquer depuis combien de temps vous attendez.
4,3,3,4,4,gemma3:27b,data_pmus_yaounde,q4_1_b,Agent_0,MOINS DE 5 MIN
4,4,2,4,2,gemma3:27b,data_pmus_yaounde,q4_2_a,Agent_0,Veuillez indiquer depuis combien de temps vous attendez.
4,3,3,4,4,gemma3:27b,data_pmus_yaounde,q4_2_b,Agent_0,30 60 MIN
4,4,4,4,4,gemma3:27b,data_pmus_yaounde,q4_3,Agent_0,850
4,3,4,4,4,gemma3:27b,data_pmus_yaounde,q4_4,Agent_0,COURSES
3,3,3,4,3,gemma3:27b,data_pmus_yaounde,q4_4_autres,Agent_0,FAIRE DU MARCHE
5,3,4,4,4,gemma3:27b,data_pmus_yaounde,q5_1,Agent_0,ENTRE 36 ET 45 ANS
5,3,4,4,4,gemma3:27b,data_pmus_yaounde,q5_2,Agent_0,MOINS DE 30 000
4,4,4,4,4,gemma3:27b,data_pmus_yaounde,q5_3,Agent_0,HOMME
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,centre ville,Agent_1,YAOUNDE
5,4,4,4,4,gemma3:27b,data_pmus_yaounde,q1_1,Agent_1,HORS DE LA VILLE DE YAOUNDE
4,4,3,4,4,gemma3:27b,data_pmus_yaounde,q1_1_a,Agent_1,MBAM ET KIM
4,4,3,4,3,gemma3:27b,data_pmus_yaounde,q1_1_b,Agent_1,SAA
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q1_1_c,Agent_1,AFANOYA
5,4,4,4,4,gemma3:27b,data_pmus_yaounde,q1_2,Agent_1,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,4,4,gemma3:27b,data_pmus_yaounde,q1_2_a,Agent_1,ODZA
4,4,3,4,3,gemma3:27b,data_pmus_yaounde,q1_2_b,Agent_1,ODZA HAPPY
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q1_3_c,Agent_1,AFANOYA
4,3,4,4,3,gemma3:27b,data_pmus_yaounde,q2_1,Agent_1,PAR TAXI
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_2_1,Agent_1,SAA CENTRE
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_2_2,Agent_1,10 E ARRET
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_3_1,Agent_1,0LESOA
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_3_2,Agent_1,ROND POINTEXPRESS
4,4,4,4,4,gemma3:27b,data_pmus_yaounde,q2_3,Agent_1,NON
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_4,Agent_1,PAR BUS STACY
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_5_1,Agent_1,A B0NAS
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_5_2,Agent_1,TOTAL
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_6_1,Agent_1,ROND POINT
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q2_6_2,Agent_1,ROND POINT NLONGKAK
4,4,3,4,4,gemma3:27b,data_pmus_yaounde,q3_1,Agent_1,NON
4,3,4,4,3,gemma3:27b,data_pmus_yaounde,q3_2,Agent_1,PAR BUS STACY
4,4,3,4,3,gemma3:27b,data_pmus_yaounde,q3_3_1,Agent_1,SAA
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q3_3_2,Agent_1,OYOM ABANG
4,4,2,4,2,gemma3:27b,data_pmus_yaounde,q4_1_a,Agent_1,Veuillez indiquer depuis combien de temps vous attendez.
4,3,3,4,4,gemma3:27b,data_pmus_yaounde,q4_1_b,Agent_1,10 20 MINUTES
4,4,2,4,2,gemma3:27b,data_pmus_yaounde,q4_2_a,Agent_1,Veuillez indiquer depuis combien de temps vous attendez.
4,3,3,4,4,gemma3:27b,data_pmus_yaounde,q4_2_b,Agent_1,30 60 MIN
4,4,4,4,4,gemma3:27b,data_pmus_yaounde,q4_3,Agent_1,800
4,3,4,4,4,gemma3:27b,data_pmus_yaounde,q4_4,Agent_1,VISITE FAMILLE
3,3,3,4,3,gemma3:27b,data_pmus_yaounde,q4_4_autres,Agent_1,RENCONTRE
5,3,4,4,4,gemma3:27b,data_pmus_yaounde,q5_1,Agent_1,ENTRE 26 ET 35 ANS
5,3,4,4,4,gemma3:27b,data_pmus_yaounde,q5_2,Agent_1,ENTRE 300 001 ET 500 000
4,4,4,4,4,gemma3:27b,data_pmus_yaounde,q5_3,Agent_1,HOMME
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,centre ville,Agent_2,YAOUNDE
5,4,4,4,4,gemma3:27b,data_pmus_yaounde,q1_1,Agent_2,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,3,4,4,gemma3:27b,data_pmus_yaounde,q1_1_a,Agent_2,NLONGKAK
4,4,3,4,3,gemma3:27b,data_pmus_yaounde,q1_1_b,Agent_2,10EME ARRET
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q1_1_c,Agent_2,NGOUSSO
5,4,4,4,4,gemma3:27b,data_pmus_yaounde,q1_2,Agent_2,HORS DE LA VILLE DE YAOUNDE
4,4,4,4,4,gemma3:27b,data_pmus_yaounde,q1_2_a,Agent_2,NGOUSSO
4,4,3,4,3,gemma3:27b,data_pmus_yaounde,q1_2_b,Agent_2,10 IEME ARRET
4,4,2,4,3,gemma3:27b,data_pmus_yaounde,q1_3_c,Agent_2,AFANOYA
