accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
2,3,3,2,3,llama3.3:70b,data_MyDailyTravelData,source,Agent_0,1: CMAP website
2,3,5,2,4,llama3.3:70b,data_MyDailyTravelData,cravl,Agent_0,1: Yes
2,3,4,2,3,llama3.3:70b,data_MyDailyTravelData,fare,Agent_0,0.0
2,4,5,2,4,llama3.3:70b,data_MyDailyTravelData,payf,Agent_0,1: Cash
2,3,4,2,3,llama3.3:70b,data_MyDailyTravelData,payf_o,Agent_0,"I didn't pay for this transit trip as I rarely use public transit and prefer to stay close to home, relying on family or caregivers for transportation when needed."
2,3,4,2,3,llama3.3:70b,data_MyDailyTravelData,paypk,Agent_0,2: No
2,3,4,2,3,llama3.3:70b,data_MyDailyTravelData,pkamt,Agent_0,0.0
2,3,4,2,3,llama3.3:70b,data_MyDailyTravelData,pkbas,Agent_0,6: Year
2,3,2,2,2,llama3.3:70b,data_MyDailyTravelData,pkbas_o,Agent_0,"I'm a 70-year-old retired woman, living in my own home with a mortgage. I have a disability that limits my travel, so I don't often go far from home. My days are spent reading, tending to my garden, a"
2,4,4,2,4,llama3.3:70b,data_MyDailyTravelData,prkty,Agent_0,4: Driveway/garage
2,3,2,2,2,llama3.3:70b,data_MyDailyTravelData,prkty_o,Agent_0,I parked my car in the driveway of my home.
2,3,5,2,4,llama3.3:70b,data_MyDailyTravelData,tpurp,Agent_0,1: 01. Typical home activities
2,3,4,2,3,llama3.3:70b,data_MyDailyTravelData,tpurp_o,Agent_0,"My main activity is reading and tending to my garden, with some volunteering at the local library to help children with their homework."
2,4,4,2,4,llama3.3:70b,data_MyDailyTravelData,tpurp2,Agent_0,1: 01. Typical home activities
2,3,4,2,3,llama3.3:70b,data_MyDailyTravelData,tpurp2_o,Agent_0,"I also enjoy having my morning coffee and spending quiet time at home, which is my favorite part of the day. Occasionally, I will have family or a caregiver take me out for a drive or to run errands, "
1,4,3,2,3,llama3.3:70b,data_MyDailyTravelData,tpurp_check,Agent_0,1: Yes
2,4,5,2,4,llama3.3:70b,data_MyDailyTravelData,trip_appt,Agent_0,1: Not at all
2,3,4,2,3,llama3.3:70b,data_MyDailyTravelData,trip_appt_why,Agent_0,['6: I believe it is important to be on time.']
2,3,4,2,4,llama3.3:70b,data_MyDailyTravelData,trip_appt_why_1,Agent_0,['6: I believe it is important to be on time.']
2,3,4,2,4,llama3.3:70b,data_MyDailyTravelData,trip_appt_why_2,Agent_0,['6: I believe it is important to be on time.']
2,3,5,2,4,llama3.3:70b,data_MyDailyTravelData,trip_appt_why_3,Agent_0,['6: I believe it is important to be on time.']
2,3,5,2,4,llama3.3:70b,data_MyDailyTravelData,trip_appt_why_4,Agent_0,['6: I believe it is important to be on time.']
2,3,5,2,4,llama3.3:70b,data_MyDailyTravelData,trip_appt_why_5,Agent_0,['6: I believe it is important to be on time.']
