accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
4,4,5,3,4,llama3.1:8b,data_VTC_survey,genre,Agent_0,Une femme
1,1,1,1,3,llama3.1:8b,data_VTC_survey,genre_autre,Agent_0,Champ texte libre — précision du genre si la réponse à 'genre' est 'Autre'.
3,4,5,3,4,llama3.1:8b,data_VTC_survey,age,Agent_0,Valeur entière en années révolues (ex. : 34).
4,4,5,3,4,llama3.1:8b,data_VTC_survey,diplome,Agent_0,Sans diplôme
1,1,1,1,3,llama3.1:8b,data_VTC_survey,diplome_autre,Agent_0,Champ texte libre — précision du diplôme si la réponse à 'diplome' est 'Autre'.
4,4,5,3,4,llama3.1:8b,data_VTC_survey,situation_professionnelle,Agent_0,Etudiant.e
4,4,4,3,4,llama3.1:8b,data_VTC_survey,csp,Agent_0,Employé.e
4,4,5,3,4,llama3.1:8b,data_VTC_survey,compo_menage,Agent_0,En colocation
1,1,1,1,3,llama3.1:8b,data_VTC_survey,compo_menage_autre,Agent_0,Champ texte libre — précision de la composition du ménage si la réponse à 'compo_menage' est 'Autre'.
3,4,3,3,2,llama3.1:8b,data_VTC_survey,nb_pers_menage,Agent_0,Valeur entière positive ≥ 1
4,4,2,3,2,llama3.1:8b,data_VTC_survey,nb_enfants_menage,Agent_0,Valeur entière positive ou nulle (0 si aucun enfant). Doit être ≤ nb_pers_menage.
4,4,2,3,2,llama3.1:8b,data_VTC_survey,nb_enfants_menage_14,Agent_0,Valeur entière positive ou nulle (0 si aucun). Doit être ≤ nb_enfants_menage.
3,4,4,3,3,llama3.1:8b,data_VTC_survey,date_der_dep_vtc,Agent_0,Il y a moins de 12 mois
2,4,4,3,4,llama3.1:8b,data_VTC_survey,der_dep_vtc_agglo_res_on,Agent_0,Oui
4,4,5,3,4,llama3.1:8b,data_VTC_survey,agglo_der_dep,Agent_0,Agglomération parisienne
1,1,1,1,3,llama3.1:8b,data_VTC_survey,agglo_der_dep_autre,Agent_0,Champ texte libre — nom de la ville ou agglomération si la réponse à 'agglo_der_dep' est 'Ailleurs en France'.
3,4,5,3,4,llama3.1:8b,data_VTC_survey,app_der_dep_vtc_on,Agent_0,Oui
3,4,5,3,4,llama3.1:8b,data_VTC_survey,app_der_dep_vtc,Agent_0,Uber
1,1,1,1,3,llama3.1:8b,data_VTC_survey,app_der_dep_vtc_autre,Agent_0,Champ texte libre — nom de l'application VTC si la réponse à 'app_der_dep_vtc' est 'Autre'.
3,4,3,3,2,llama3.1:8b,data_VTC_survey,prix_estime_trajet_vtc_20min,Agent_0,Valeur numérique en euros (€)
2,4,4,3,3,llama3.1:8b,data_VTC_survey,avis_prix_estime_trajet_vtc_20min,Agent_0,Adéquat
3,4,3,3,2,llama3.1:8b,data_VTC_survey,prix_estime_trajet_taxi_20min,Agent_0,Valeur numérique en euros (€)
2,4,4,3,3,llama3.1:8b,data_VTC_survey,avis_prix_estime_trajet_taxi_20min,Agent_0,Adéquat
3,4,4,3,4,llama3.1:8b,data_VTC_survey,nb_voitures,Agent_0,"['1', 'Mon ménage ne possède pas ce type de véhicule']"
3,4,4,3,3,llama3.1:8b,data_VTC_survey,nb_voitures_hybride_ou_elec,Agent_0,"['1', 'Mon ménage ne possède pas ce type de véhicule']"
