accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,centre ville,Agent_0,YAOUNDE
5,4,4,4,4,llama3.1:8b,data_pmus_yaounde,q1_1,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,4,4,llama3.1:8b,data_pmus_yaounde,q1_1_a,Agent_0,MOKOLO
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q1_1_b,Agent_0,MOKOLO
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q1_1_c,Agent_0,AFANOYA
5,4,4,4,4,llama3.1:8b,data_pmus_yaounde,q1_2,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,4,4,llama3.1:8b,data_pmus_yaounde,q1_2_a,Agent_0,CARREFOUR LUMIERE
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q1_2_b,Agent_0,PETIT MARCHE
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q1_3_c,Agent_0,YAOUNDE
4,3,4,4,3,llama3.1:8b,data_pmus_yaounde,q2_1,Agent_0,A PIED
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q2_2_1,Agent_0,GARE VOYAGEUR
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q2_2_2,Agent_0,GARE VOYAGEUR
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q2_3_1,Agent_0,CARREFOUR
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q2_3_2,Agent_0,CARREFOUR
5,4,4,4,4,llama3.1:8b,data_pmus_yaounde,q2_3,Agent_0,NON
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q2_4,Agent_0,PAR BUS STACY
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q2_5_1,Agent_0,A B0NAS
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q2_5_2,Agent_0,CARREFOUR
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q2_6_1,Agent_0,CARREFOUR
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q2_6_2,Agent_0,CARREFOUR
4,4,3,4,4,llama3.1:8b,data_pmus_yaounde,q3_1,Agent_0,NON
4,3,4,4,3,llama3.1:8b,data_pmus_yaounde,q3_2,Agent_0,PAR BUS STACY
4,4,4,4,4,llama3.1:8b,data_pmus_yaounde,q3_3_1,Agent_0,MOKOLO
4,4,3,4,3,llama3.1:8b,data_pmus_yaounde,q3_3_2,Agent_0,MOKOLO
5,4,2,5,2,llama3.1:8b,data_pmus_yaounde,q4_1_a,Agent_0,Veuillez indiquer depuis combien de temps vous attendez.
