accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
2,3,3,2,2,gpt-oss:20b,data_MyDailyTravelData,source,Agent_0,2: Facebook
2,3,5,2,4,gpt-oss:20b,data_MyDailyTravelData,cravl,Agent_0,1: Yes
2,3,4,1,2,gpt-oss:20b,data_MyDailyTravelData,fare,Agent_0,3.0
2,3,4,2,4,gpt-oss:20b,data_MyDailyTravelData,payf,Agent_0,2: One-way ticket/Single ride
2,3,4,2,2,gpt-oss:20b,data_MyDailyTravelData,payf_o,Agent_0,I paid with a single‑ride ticket that I bought at the bus stop.
2,3,4,2,2,gpt-oss:20b,data_MyDailyTravelData,paypk,Agent_0,1: Yes
2,3,4,1,2,gpt-oss:20b,data_MyDailyTravelData,pkamt,Agent_0,5.0
2,3,4,2,2,gpt-oss:20b,data_MyDailyTravelData,pkbas,Agent_0,4: Month
2,3,2,2,1,gpt-oss:20b,data_MyDailyTravelData,pkbas_o,Agent_0,"I am a 70‑year‑old retired woman who has lived in my home for 17 years. I enjoy tending my garden, reading, and volunteering at the local library. I spend my mornings with a quiet cup of coffee and a "
3,4,5,2,4,gpt-oss:20b,data_MyDailyTravelData,prkty,Agent_0,2: Off-site parking lot or garage
2,3,3,2,2,gpt-oss:20b,data_MyDailyTravelData,prkty_o,Agent_0,"I parked in the off‑site parking lot/garage near my house, which I use when I need to drive."
2,3,5,2,4,gpt-oss:20b,data_MyDailyTravelData,tpurp,Agent_0,"10: 10. Drive-thru errands (ATM, dry cleaning, pharmacy, etc.)"
2,3,4,2,2,gpt-oss:20b,data_MyDailyTravelData,tpurp_o,Agent_0,"Drive-thru errands (ATM, dry cleaning, pharmacy, etc.)"
2,4,4,2,4,gpt-oss:20b,data_MyDailyTravelData,tpurp2,Agent_0,18: 18. Socialized with friends
2,3,4,2,2,gpt-oss:20b,data_MyDailyTravelData,tpurp2_o,Agent_0,I also stopped by the pharmacy to pick up my prescription and chatted with a neighbor who was also parking nearby.
2,2,4,2,3,gpt-oss:20b,data_MyDailyTravelData,tpurp_check,Agent_0,1: Yes
2,4,5,2,4,gpt-oss:20b,data_MyDailyTravelData,trip_appt,Agent_0,1: Not at all
2,3,4,2,2,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why,Agent_0,['1: I had work or a job interview']
2,3,3,2,3,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why_1,Agent_0,2: I had an appointment or was meeting someone
2,3,3,2,3,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why_2,Agent_0,2: I had an appointment or was meeting someone
2,3,3,2,3,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why_3,Agent_0,2: I had an appointment or was meeting someone
2,3,4,2,3,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why_4,Agent_0,2: I had an appointment or was meeting someone
2,3,3,2,3,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why_5,Agent_0,2: I had an appointment or was meeting someone
2,3,3,2,3,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why_6,Agent_0,1: I had work or a job interview
2,3,4,2,3,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why_se,Agent_0,2: I had an appointment or was meeting someone
2,3,4,2,3,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why_rf,Agent_0,2: I had an appointment or was meeting someone
2,3,4,2,3,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why_dk,Agent_0,2: I had an appointment or was meeting someone
2,3,4,2,2,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why_o,Agent_0,"I spend my days tending to my garden, reading, and volunteering at the local library. I enjoy quiet mornings with coffee and a good book, and I rely on family and friends for longer trips because my d"
2,3,4,2,2,gpt-oss:20b,data_MyDailyTravelData,trip_appt_why2,Agent_0,['1: Left earlier to allow extra time']
