
================================================================================
HEADER
================================================================================
Model   : mistral-nemo:12b
Dataset : data_NYC_mobility
Results : 20260619_0203_results.csv
Oracle  : sampled_oracle.csv
Log     : log.txt
--------------------------------------------------------------------------------

================================================================================
TABLE 0 — GLOBAL SUMMARY
================================================================================
Category         Metric                      Value
---------------  --------------------------  ----------------------------
Run Info         Model                       ollama/mistral-nemo:12b
Run Info         Temperature                 0.2
Run Info         N Agents                    200
Run Info         Duration (h)                6.09
Run Info         Start Time                  2026-06-19 02:03:31
Run Info         End Time                    2026-06-19 08:08:52
Run Info         Sample Size                 200
Run Info         Batch Size                  10
Run Info         Source                      GENERIC
Run Info         Sim Year                    2019
Columns          Matched (results<->oracle)  176
Columns          -> Categorical              10
Columns          -> Numeric                  91
Columns          -> Free-text                0
------------     ----------------------      ----------------------------
Entropy          Oracle Median               0.5148
Entropy          Agent Median                0.7102
Entropy          Agent Mean                  0.688
KL Divergence    Median KL                   1.2389
KL Divergence    Mean KL                     2.8853
------------     ----------------------      ----------------------------
NLP - BLEU       Corpus BLEU                 0
NLP - ROUGE      ROUGE-1                     0.0
NLP - ROUGE      ROUGE-2                     0.0
NLP - ROUGE      ROUGE-L                     0.0
NLP - METEOR     METEOR                      0.0
NLP - BERTScore  F1                          0.9372
------------     ----------------------      ----------------------------
Task Metrics     Success Rate (SR)           1.0
Task Metrics     N Successful / N Total      200 / 200
Task Metrics     Avg Field Coverage          0.9539
Task Metrics     Task Goal Completion        0.4555
Task Metrics     Median TGC                  0.4487
------------     ----------------------      ----------------------------
Factual          Global Accuracy             0.2467
Factual          Median Accuracy             0.135
Relevance        Global Mean (TF-IDF)        0.0
Relevance        Global Median (TF-IDF)      0.0

================================================================================
COLUMN CLASSIFICATION  (auto-inferred from data)
================================================================================
Categorical      (10): ['work_county', 'work_mode_auto', 'school_county', 'school_mode_auto', 'school_mode_taxi', 'school_mode_bus', 'school_mode_rail', 'school_mode_ferry', 'school_mode_scooter', 'kid_mode_ferry']
Numeric          (91):     ['phone_type', 'relationship', 'age', 'r_age', 'race_1', 'race_2', 'race_3', 'race_4', 'race_5', 'race_6', 'race_997', 'race_999', 'r_race', 'ethnicity_1', 'ethnicity_2', 'ethnicity_3', 'ethnicity_4', 'ethnicity_5', 'ethnicity_997', 'ethnicity_999', 'r_ethnicity', 'gender', 'can_drive', 'education', 'employment', 'worker', 'num_jobs', 'job_type', 'work_cms_zone', 'wfh_policy', 'commute_freq', 'telework_freq', 'r_telework_freq', 'work_mode', 'r_work_mode', 'work_mode_own', 'work_park_loc', 'work_park_pay', 'work_park_cost', 'work_mode_taxi', 'work_mode_bus', 'work_mode_rail', 'work_mode_ferry', 'work_mode_bike', 'work_bike_park', 'work_mode_scooter', 'work_scooter_park', 'student', 'r_student', 'school_type', 'r_school_type', 'school_freq', 'remote_class_freq', 'school_mode', 'school_mode_own', 'school_park_loc', 'school_park_cost', 'school_mode_bike', 'school_bike_park', 'school_scooter_park', 'home_park_cost', 'second_home', 'second_home_freq', 'second_home_in_region', 'tnc_freq', 'tnc_purp', 'carshare_freq', 'vehicle', 'bike_freq', 'no_bike_nyc_5', 'no_bike_nyc_6', 'no_bike_nyc_9', 'no_freq_bike_nyc_997', 'citi_bike_freq', 'citi_bike_type', 'citi_bike_alt_mode', 'no_bike_share_997', 'micromobility_devices_204', 'micromobility_devices_83', 'micromobility_devices_205', 'micromobility_devices_73', 'micromobility_devices_206', 'micromobility_devices_207', 'micromobility_devices_996', 'kid_mode_own', 'kid_mode_auto', 'kid_mode_bus', 'kid_mode_rail', 'kid_mode_bike', 'kid_mode_scooter', 'harassment']
Free-text        (0):   []
Entropy/KL cols  (91):  ['phone_type', 'age', 'r_age', 'race_1', 'race_2', 'race_3', 'race_4', 'race_5', 'race_6', 'race_997', 'race_999', 'r_race', 'ethnicity_1', 'ethnicity_2', 'ethnicity_3', 'ethnicity_4', 'ethnicity_5', 'ethnicity_997', 'ethnicity_999', 'r_ethnicity', 'gender', 'can_drive', 'education', 'employment', 'worker', 'num_jobs', 'job_type', 'work_county', 'work_cms_zone', 'wfh_policy', 'commute_freq', 'telework_freq', 'r_telework_freq', 'work_mode', 'r_work_mode', 'work_mode_own', 'work_mode_auto', 'work_park_loc', 'work_park_pay', 'work_park_cost', 'work_mode_taxi', 'work_mode_bus', 'work_mode_rail', 'work_mode_ferry', 'work_mode_bike', 'work_bike_park', 'work_mode_scooter', 'work_scooter_park', 'student', 'r_student', 'school_type', 'r_school_type', 'school_county', 'school_freq', 'remote_class_freq', 'school_mode', 'school_mode_own', 'school_mode_auto', 'school_park_loc', 'school_park_cost', 'school_mode_taxi', 'school_mode_bus', 'school_mode_rail', 'school_mode_ferry', 'school_mode_bike', 'school_bike_park', 'home_park_cost', 'second_home', 'second_home_freq', 'second_home_in_region', 'tnc_freq', 'tnc_purp', 'carshare_freq', 'vehicle', 'bike_freq', 'no_bike_nyc_5', 'no_bike_nyc_6', 'no_bike_nyc_9', 'no_freq_bike_nyc_997', 'citi_bike_freq', 'citi_bike_type', 'citi_bike_alt_mode', 'no_bike_share_997', 'micromobility_devices_204', 'micromobility_devices_83', 'micromobility_devices_205', 'micromobility_devices_73', 'micromobility_devices_206', 'micromobility_devices_207', 'micromobility_devices_996', 'harassment']


================================================================================
TABLE 1 — NORMALIZED SHANNON ENTROPY
================================================================================
Variable                     # Categories    Entropy (Oracle)    Entropy (Agent)    Delta Entropy
-------------------------  --------------  ------------------  -----------------  ---------------
phone_type                              5              0.6216             0.5316          -0.09
age                                     6              0.9218             0.7882          -0.1335
r_age                                   3              0.734              0.9196           0.1856
race_1                                  2              0.5148             0.7008           0.186
race_2                                  2              0.1414             0.4936           0.3521
race_3                                  2              0.669              0.4972          -0.1718
race_4                                  2              0.0808             0.2766           0.1958
race_5                                  2              0.9615             0.6754          -0.2861
race_6                                  2              0.4846             0.4954           0.0108
race_997                                2              0.5148             0.8687           0.3539
race_999                                2              0.6577             0.9648           0.3071
r_race                                  8              0.8411             0.7579          -0.0831
ethnicity_1                             2              0.9997             0.9295          -0.0702
ethnicity_2                             2              0.347              0.571            0.224
ethnicity_3                             2              0.4529             0.7118           0.2589
ethnicity_4                             2              0.1124             0.6098           0.4975
ethnicity_5                             2              0.4196             0.778            0.3585
ethnicity_997                           2              0.5148             0.6257           0.1109
ethnicity_999                           2              0.6577             0.9341           0.2764
r_ethnicity                             8              0.7363             0.6232          -0.1131
gender                                  6              0.5809             0.5702          -0.0106
can_drive                               2              0.6098             0.8415           0.2316
education                               8              0.8285             0.735           -0.0935
employment                              7              0.6454             0.7524           0.107
worker                                  2              0.4846             0.5574           0.0728
num_jobs                                6              0.5571             0.503           -0.0541
job_type                                6              0.8121             0.7441          -0.0681
work_county                             9              0.767              0.7313          -0.0357
work_cms_zone                          12              0.7852             0.8143           0.0291
wfh_policy                              8              0.8045             0.7232          -0.0813
commute_freq                            8              0.7953             0.6885          -0.1068
telework_freq                           8              0.7453             0.6659          -0.0794
r_telework_freq                         8              0.7383             0.7252          -0.013
work_mode                              11              0.7978             0.8414           0.0437
r_work_mode                            10              0.7864             0.8436           0.0573
work_mode_own                           4              0.5702             0.1777          -0.3925
work_mode_auto                          3              0.14               0.6684           0.5284
work_park_loc                           3              0.8055             0.6714          -0.1341
work_park_pay                           7              0.5341             0.5944           0.0602
work_park_cost                          6              0.2059             0.5771           0.3712
work_mode_taxi                          3              0.135              0.5718           0.4368
work_mode_bus                           3              0.3149             0.7471           0.4322
work_mode_rail                          3              0.5128             0.8366           0.3238
work_mode_ferry                         2              0.1124             0.4519           0.3395
work_mode_bike                          4              0.1994             0.6817           0.4824
work_bike_park                          5              0.1793             0.8191           0.6399
work_mode_scooter                       2              0.1414             0.7744           0.633
work_scooter_park                       3              0.1019             0.944            0.8422
student                                 5              0.6743             0.6659          -0.0084
r_student                               3              0.843              0.7758          -0.0672
school_type                             7              0.6144             0.8064           0.192
r_school_type                           7              0.6144             0.6217           0.0073
school_county                           7              0.7788             0.7962           0.0175
school_freq                             8              0.5499             0.7102           0.1602
remote_class_freq                       8              0.6614             0.7302           0.0689
school_mode                            10              0.49               0.8472           0.3572
school_mode_own                         3              0.257              0.3411           0.0841
school_mode_auto                        3              0.0573             0.777            0.7197
school_park_loc                         6              0.2114             0.8009           0.5895
school_park_cost                        6              0.2079             0.8908           0.6828
school_mode_taxi                        2              0.0808             0.6664           0.5856
school_mode_bus                         4              0.1662             0.8478           0.6815
school_mode_rail                        3              0.371              0.9066           0.5356
school_mode_ferry                       2              0.0454             0.756            0.7106
school_mode_bike                        3              0.0796             0.6185           0.5389
school_bike_park                        4              0.0681             0.7068           0.6387
home_park_cost                          4              0.4073             0.7987           0.3913
second_home                             2              0.5148             0.4196          -0.0953
second_home_freq                        8              0.2554             0.6711           0.4157
second_home_in_region                   2              0.3073             0.347            0.0397
tnc_freq                                7              0.777              0.7837           0.0067
tnc_purp                               10              0.606              0.6322           0.0262
carshare_freq                           5              0.2023             0.6357           0.4334
vehicle                                 7              0.6271             0.7304           0.1033
bike_freq                               7              0.7557             0.7664           0.0108
no_bike_nyc_5                           2              0.4196             0.4999           0.0804
no_bike_nyc_6                           2              0.4196             0.9999           0.5804
no_bike_nyc_9                           3              0.3008             0.6239           0.3232
no_freq_bike_nyc_997                    3              0.7314             0.4636          -0.2678
citi_bike_freq                          7              0.7733             0.5746          -0.1987
citi_bike_type                          6              0.463              0.7023           0.2393
citi_bike_alt_mode                     12              0.6242             0.7823           0.1581
no_bike_share_997                       3              0.8362             0.3116          -0.5246
micromobility_devices_204               2              0.5842             0.9341           0.3498
micromobility_devices_83                2              0.2864             0.9427           0.6563
micromobility_devices_205               2              0.1414             0.5842           0.4428
micromobility_devices_73                2              0.2864             0.4529           0.1665
micromobility_devices_206               2              0.2423             0.3073           0.065
micromobility_devices_207               2              0.4022             0.8415           0.4393
micromobility_devices_996               2              0.9097             0.6801          -0.2297
harassment                              5              0.7282             0.8514           0.1232

================================================================================
TABLE 2 — KL DIVERGENCE  P(Oracle) || Q(Agent)
================================================================================
Variable                     KL Divergence (Oracle || Agent)  Rating
-------------------------  ---------------------------------  --------------
phone_type                                            9.539   poor
age                                                   8.6156  poor
r_age                                                 0.869   moderate
race_1                                                0.4588  good
race_2                                                0.1385  good
race_3                                                0.0153  approx_perfect
race_4                                                0.0493  approx_perfect
race_5                                                0.0323  approx_perfect
race_6                                                0.0446  approx_perfect
race_997                                              0.0886  good
race_999                                              0.1145  good
r_race                                                2.7036  poor
ethnicity_1                                           0.0443  approx_perfect
ethnicity_2                                           0.0253  approx_perfect
ethnicity_3                                           0.0377  approx_perfect
ethnicity_4                                           0.1107  good
ethnicity_5                                           0.0733  good
ethnicity_997                                         0.121   good
ethnicity_999                                         0.0801  good
r_ethnicity                                           2.7012  poor
gender                                                0.872   moderate
